"id","answered","enthusiastic_students","staff_trusted","positive_colleagues","supportive_students","respectful_staff_students","optimistic_improvement","students_help_students","colleagues_support_initiatives","positive_environment","positive_leaders","leaders_important_staff_satisfied","leaders_positive_influence","leaders_communicate_effective","leaders_knowledge","leaders_responsive","leaders_effective_rules","leaders_clear_goals","staff_input","friendly_families","meet_families","caring_families","supportive_families","trust_parents","respectful_parents","challenging_families"
a1-1,n,,,,,,,,,,,,,,,,,,,,,,,,,
a1-2,n,,,,,,,,,,,,,,,,,,,,,,,,,
a1-3,n,,,,,,,,,,,,,,,,,,,,,,,,,
a1-4,y,Somewhat enthusiastic,Trusted quite a bit,Somewhat positive,Somewhat supportive,Somewhat respectful,Quite optimistic,Sometimes,Somewhat supportive,Quite positive,Extremely positive,Quite important,Quite positive,Extremely effectively,Somewhat knowledgeable,Somewhat responsive,Somewhat effective,Somewhat clearly,Quite a bit of input,Slightly friendly,Almost all the time,Slightly caring,Slightly supportive,Trust some,Somewhat respectful,Slightly challenging
a1-5,n,,,,,,,,,,,,,,,,,,,,,,,,,
a1-6,y,Quite enthusiastic,Trusted somewhat,Quite positive,Quite supportive,Extremely respectful,Extremely optimistic,Sometimes,Extremely supportive,Extremely positive,Quite positive,Somewhat important,Quite positive,Somewhat effectively,Quite knowledgeable,Extremely responsive,Somewhat effective,Slightly clearly,Almost no input,Somewhat friendly,Almost all the time,Somewhat caring,Somewhat supportive,Trust some,Slightly respectful,Somewhat challenging
a1-7,y,Somewhat enthusiastic,Trusted somewhat,Somewhat positive,Somewhat supportive,Quite respectful,Quite optimistic,Once in a while,Somewhat supportive,Quite positive,Somewhat positive,Somewhat important,Quite positive,Somewhat effectively,Quite knowledgeable,Quite responsive,Extremely effective,Somewhat clearly,A little bit of input,Not at all friendly,Once in a while,Slightly caring,Somewhat supportive,Trust quite a bit,Somewhat respectful,Slightly challenging
a1-8,n,,,,,,,,,,,,,,,,,,,,,,,,,
a1-9,n,,,,,,,,,,,,,,,,,,,,,,,,,
a1-10,y,Extremely enthusiastic,Trusted somewhat,Slightly positive,Extremely supportive,Slightly respectful,Somewhat optimistic,Almost all the time,Quite supportive,Somewhat positive,Quite positive,Somewhat important,Somewhat positive,Slightly effectively,Somewhat knowledgeable,Somewhat responsive,Quite effective,Extremely clearly,A tremendous amount of input,Extremely friendly,Once in a while,Quite caring,Quite supportive,Trust quite a bit,Somewhat respectful,Slightly challenging
a1-11,n,,,,,,,,,,,,,,,,,,,,,,,,,
a1-12,y,Quite enthusiastic,Trusted a tremendous amount,Not at all positive,Quite supportive,Somewhat respectful,Not at all optimistic,Almost all the time,Slightly supportive,Slightly positive,Extremely positive,Somewhat important,Quite positive,Extremely effectively,Extremely knowledgeable,Somewhat responsive,Quite effective,Somewhat clearly,Quite a bit of input,Somewhat friendly,Sometimes,Somewhat caring,Quite supportive,Trust a tremendous amount,Extremely respectful,Not at all challenging
a1-13,y,Not at all enthusiastic,Trusted somewhat,Not at all positive,Not at all supportive,Not at all respectful,Slightly optimistic,Once in a while,Slightly supportive,Slightly positive,Slightly positive,Not important at all,Somewhat positive,Quite effectively,Quite knowledgeable,Quite responsive,Quite effective,Extremely clearly,Quite a bit of input,Slightly friendly,Once in a while,Slightly caring,Slightly supportive,Do not trust at all,Slightly respectful,Quite challenging
a1-14,y,Somewhat enthusiastic,Trusted a little bit,Slightly positive,Somewhat supportive,Slightly respectful,Slightly optimistic,Once in a while,Slightly supportive,Not at all positive,Somewhat positive,Slightly important,Slightly positive,Not at all effectively,Slightly knowledgeable,Somewhat responsive,Quite effective,Somewhat clearly,Some input,Not at all friendly,Sometimes,Not at all caring,Not at all supportive,Do not trust at all,Somewhat respectful,Quite challenging
a1-15,n,,,,,,,,,,,,,,,,,,,,,,,,,
a1-16,n,,,,,,,,,,,,,,,,,,,,,,,,,
a1-17,n,,,,,,,,,,,,,,,,,,,,,,,,,
a1-18,y,Somewhat enthusiastic,Trusted somewhat,Slightly positive,Somewhat supportive,Slightly respectful,Not at all optimistic,Frequently,Somewhat supportive,Somewhat positive,Quite positive,Quite important,Quite positive,Quite effectively,Somewhat knowledgeable,Somewhat responsive,Slightly effective,Not at all clearly,Some input,Somewhat friendly,Almost never,Somewhat caring,Somewhat supportive,Trust some,Somewhat respectful,Slightly challenging
a1-19,y,Not at all enthusiastic,Trusted a tremendous amount,Extremely positive,Somewhat supportive,Somewhat respectful,Somewhat optimistic,Sometimes,Slightly supportive,Not at all positive,Somewhat positive,Quite important,Extremely positive,Quite effectively,Quite knowledgeable,Quite responsive,Extremely effective,Somewhat clearly,Some input,Slightly friendly,Almost all the time,Not at all caring,Not at all supportive,Trust some,Quite respectful,Not at all challenging
a1-20,y,Quite enthusiastic,Trusted a tremendous amount,Slightly positive,Somewhat supportive,Not at all respectful,Slightly optimistic,Once in a while,Somewhat supportive,Slightly positive,Extremely positive,Somewhat important,Slightly positive,Not at all effectively,Somewhat knowledgeable,Slightly responsive,Not at all effective,Not at all clearly,A little bit of input,Somewhat friendly,Sometimes,Quite caring,Quite supportive,Trust some,Slightly respectful,Somewhat challenging
a2-1,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-2,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-3,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-4,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-5,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-6,y,Not at all enthusiastic,Trusted a tremendous amount,Extremely positive,Somewhat supportive,Quite respectful,Extremely optimistic,Frequently,Somewhat supportive,Slightly positive,Somewhat positive,Quite important,Extremely positive,Quite effectively,Extremely knowledgeable,Somewhat responsive,Quite effective,Extremely clearly,A tremendous amount of input,Quite friendly,Almost never,Quite caring,Extremely supportive,Trust quite a bit,Quite respectful,Somewhat challenging
a2-7,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-8,y,Slightly enthusiastic,Trusted somewhat,Quite positive,Somewhat supportive,Quite respectful,Quite optimistic,Frequently,Quite supportive,Somewhat positive,Somewhat positive,Slightly important,Somewhat positive,Quite effectively,Quite knowledgeable,Quite responsive,Quite effective,Extremely clearly,Quite a bit of input,Extremely friendly,Frequently,Extremely caring,Somewhat supportive,Trust quite a bit,Somewhat respectful,Quite challenging
a2-9,y,Quite enthusiastic,Not at all trusted,Slightly positive,Somewhat supportive,Not at all respectful,Slightly optimistic,Sometimes,Not at all supportive,Not at all positive,Slightly positive,Somewhat important,Slightly positive,Not at all effectively,Not knowledgeable at all,Slightly responsive,Not at all effective,Not at all clearly,Some input,Slightly friendly,Once in a while,Somewhat caring,Quite supportive,Trust some,Somewhat respectful,Slightly challenging
a2-10,y,Extremely enthusiastic,Trusted quite a bit,Slightly positive,Extremely supportive,Somewhat respectful,Slightly optimistic,Frequently,Slightly supportive,Not at all positive,Quite positive,Somewhat important,Quite positive,Somewhat effectively,Somewhat knowledgeable,Somewhat responsive,Slightly effective,Slightly clearly,Some input,Extremely friendly,Once in a while,Quite caring,Extremely supportive,Trust a tremendous amount,Somewhat respectful,Slightly challenging
a2-11,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-12,y,Quite enthusiastic,Trusted a little bit,Quite positive,Somewhat supportive,Somewhat respectful,Extremely optimistic,Frequently,Somewhat supportive,Quite positive,Slightly positive,Not important at all,Not at all positive,Not at all effectively,Slightly knowledgeable,Somewhat responsive,Quite effective,Somewhat clearly,A little bit of input,Extremely friendly,Frequently,Extremely caring,Extremely supportive,Trust quite a bit,Extremely respectful,Somewhat challenging
a2-13,y,Not at all enthusiastic,Trusted a tremendous amount,Quite positive,Somewhat supportive,Somewhat respectful,Somewhat optimistic,Frequently,Somewhat supportive,Somewhat positive,Extremely positive,Extremely important,Somewhat positive,Slightly effectively,Slightly knowledgeable,Somewhat responsive,Somewhat effective,Slightly clearly,Almost no input,Somewhat friendly,Once in a while,Slightly caring,Somewhat supportive,Trust a little bit,Not at all respectful,Somewhat challenging
a2-14,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-15,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-16,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-17,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-18,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-19,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-20,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-21,y,Extremely enthusiastic,Trusted a little bit,Slightly positive,Extremely supportive,Slightly respectful,Somewhat optimistic,Frequently,Quite supportive,Quite positive,Somewhat positive,Somewhat important,Slightly positive,Somewhat effectively,Slightly knowledgeable,Not at all responsive,Slightly effective,Not at all clearly,A little bit of input,Somewhat friendly,Almost all the time,Quite caring,Somewhat supportive,Trust some,Quite respectful,Slightly challenging
a2-22,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-23,y,Extremely enthusiastic,Trusted quite a bit,Slightly positive,Somewhat supportive,Slightly respectful,Slightly optimistic,Sometimes,Somewhat supportive,Quite positive,Quite positive,Somewhat important,Quite positive,Somewhat effectively,Somewhat knowledgeable,Somewhat responsive,Somewhat effective,Somewhat clearly,Some input,Slightly friendly,Once in a while,Slightly caring,Somewhat supportive,Trust quite a bit,Quite respectful,Slightly challenging
a2-24,y,Somewhat enthusiastic,Trusted a tremendous amount,Somewhat positive,Somewhat supportive,Slightly respectful,Quite optimistic,Sometimes,Somewhat supportive,Quite positive,Somewhat positive,Slightly important,Slightly positive,Not at all effectively,Not knowledgeable at all,Slightly responsive,Slightly effective,Not at all clearly,Almost no input,Somewhat friendly,Almost never,Slightly caring,Slightly supportive,Trust some,Quite respectful,Somewhat challenging
a2-25,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-26,n,,,,,,,,,,,,,,,,,,,,,,,,,
a2-27,n,,,,,,,,,,,,,,,,,,,,,,,,,
