id,answered,enthusiastic_students,staff_trusted,positive_colleagues,supportive_students,respectful_staff_students,optimistic_improvement,students_help_students,colleagues_support_initiatives,positive_environment,positive_leaders,leaders_important_staff_satisfied,leaders_positive_influence,leaders_communicate_effective,leaders_knowledge,leaders_responsive,leaders_effective_rules,leaders_clear_goals,staff_input,friendly_families,meet_families,caring_families,supportive_families,trust_parents,respectful_parents,challenging_families
a3-1,y,Quite enthusiastic,Trusted quite a bit,Extremely positive,Quite supportive,Somewhat respectful,Quite optimistic,Almost all the time,Quite supportive,Extremely positive,Somewhat positive,Slightly important,Not at all positive,Slightly effectively,Somewhat knowledgeable,Slightly responsive,Somewhat effective,Somewhat clearly,A little bit of input,Extremely friendly,Once in a while,Somewhat caring,Quite supportive,Trust a tremendous amount,Quite respectful,Slightly challenging
a3-2,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
a3-3,y,Somewhat enthusiastic,Trusted somewhat,Slightly positive,Slightly supportive,Somewhat respectful,Not at all optimistic,Once in a while,Somewhat supportive,Quite positive,Somewhat positive,Somewhat important,Slightly positive,Not at all effectively,Slightly knowledgeable,Somewhat responsive,Slightly effective,Slightly clearly,A little bit of input,Somewhat friendly,Almost all the time,Slightly caring,Somewhat supportive,Trust quite a bit,Extremely respectful,Slightly challenging
a3-4,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
a3-5,y,Extremely enthusiastic,Trusted a little bit,Extremely positive,Extremely supportive,Extremely respectful,Quite optimistic,Sometimes,Somewhat supportive,Quite positive,Not at all positive,Not important at all,Slightly positive,Somewhat effectively,Slightly knowledgeable,Slightly responsive,Not at all effective,Somewhat clearly,Some input,Somewhat friendly,Sometimes,Somewhat caring,Somewhat supportive,Trust quite a bit,Extremely respectful,Slightly challenging
a3-6,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
a3-7,y,Quite enthusiastic,Trusted quite a bit,Slightly positive,Extremely supportive,Slightly respectful,Somewhat optimistic,Frequently,Quite supportive,Somewhat positive,Quite positive,Somewhat important,Slightly positive,Not at all effectively,Slightly knowledgeable,Somewhat responsive,Slightly effective,Somewhat clearly,Some input,Extremely friendly,Sometimes,Somewhat caring,Somewhat supportive,Trust quite a bit,Quite respectful,Not at all challenging
a3-8,y,Slightly enthusiastic,Trusted a little bit,Quite positive,Somewhat supportive,Quite respectful,Extremely optimistic,Frequently,Somewhat supportive,Quite positive,Not at all positive,Slightly important,Slightly positive,Not at all effectively,Somewhat knowledgeable,Somewhat responsive,Slightly effective,Not at all clearly,Almost no input,Somewhat friendly,Once in a while,Somewhat caring,Quite supportive,Trust some,Slightly respectful,Extremely challenging
a3-9,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
a3-10,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
a3-11,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
a3-12,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
a3-13,y,Not at all enthusiastic,Not at all trusted,Extremely positive,Somewhat supportive,Somewhat respectful,Somewhat optimistic,Frequently,Somewhat supportive,Somewhat positive,Slightly positive,Slightly important,Not at all positive,Slightly effectively,Not knowledgeable at all,Slightly responsive,Somewhat effective,Somewhat clearly,Quite a bit of input,Quite friendly,Once in a while,Extremely caring,Somewhat supportive,Trust quite a bit,Somewhat respectful,Somewhat challenging
