"id","answered","enthusiastic_students","staff_trusted","positive_colleagues","supportive_students","respectful_staff_students","optimistic_improvement","students_help_students","colleagues_support_initiatives","positive_environment","positive_leaders","leaders_important_staff_satisfied","leaders_positive_influence","leaders_communicate_effective","leaders_knowledge","leaders_responsive","leaders_effective_rules","leaders_clear_goals","staff_input","friendly_families","meet_families","caring_families","supportive_families","trust_parents","respectful_parents","challenging_families"
a4-1,n,,,,,,,,,,,,,,,,,,,,,,,,,
a4-2,y,Slightly enthusiastic,Not at all trusted,Slightly positive,Somewhat supportive,Somewhat respectful,Not at all optimistic,Sometimes,Not at all supportive,Somewhat positive,Not at all positive,Slightly important,Slightly positive,Slightly effectively,Slightly knowledgeable,Not at all responsive,Slightly effective,Somewhat clearly,Some input,Somewhat friendly,Frequently,Quite caring,Extremely supportive,Trust quite a bit,Somewhat respectful,Quite challenging
a4-3,y,Not at all enthusiastic,Trusted quite a bit,Slightly positive,Not at all supportive,Slightly respectful,Somewhat optimistic,Almost never,Slightly supportive,Slightly positive,Extremely positive,Quite important,Quite positive,Somewhat effectively,Somewhat knowledgeable,Slightly responsive,Slightly effective,Somewhat clearly,Quite a bit of input,Not at all friendly,Once in a while,Not at all caring,Slightly supportive,Trust some,Somewhat respectful,Slightly challenging
a4-4,y,Quite enthusiastic,Not at all trusted,Extremely positive,Somewhat supportive,Somewhat respectful,Extremely optimistic,Sometimes,Quite supportive,Quite positive,Slightly positive,Not important at all,Slightly positive,Somewhat effectively,Quite knowledgeable,Extremely responsive,Extremely effective,Somewhat clearly,Some input,Somewhat friendly,Sometimes,Quite caring,Extremely supportive,Trust quite a bit,Quite respectful,Slightly challenging
a4-5,n,,,,,,,,,,,,,,,,,,,,,,,,,
a4-6,n,,,,,,,,,,,,,,,,,,,,,,,,,
a4-7,y,Not at all enthusiastic,Trusted a tremendous amount,Extremely positive,Not at all supportive,Quite respectful,Quite optimistic,Sometimes,Quite supportive,Somewhat positive,Somewhat positive,Slightly important,Not at all positive,Not at all effectively,Not knowledgeable at all,Slightly responsive,Slightly effective,Not at all clearly,Some input,Quite friendly,Once in a while,Quite caring,Somewhat supportive,Trust a little bit,Not at all respectful,Somewhat challenging
a4-8,n,,,,,,,,,,,,,,,,,,,,,,,,,
a4-9,y,Not at all enthusiastic,Not at all trusted,Not at all positive,Slightly supportive,Slightly respectful,Somewhat optimistic,Sometimes,Quite supportive,Extremely positive,Slightly positive,Slightly important,Somewhat positive,Slightly effectively,Not knowledgeable at all,Somewhat responsive,Somewhat effective,Quite clearly,Quite a bit of input,Slightly friendly,Almost all the time,Somewhat caring,Quite supportive,Trust quite a bit,Quite respectful,Not at all challenging
a4-10,y,Slightly enthusiastic,Trusted a little bit,Not at all positive,Not at all supportive,Not at all respectful,Slightly optimistic,Sometimes,Slightly supportive,Slightly positive,Slightly positive,Not important at all,Somewhat positive,Quite effectively,Quite knowledgeable,Extremely responsive,Somewhat effective,Quite clearly,Some input,Slightly friendly,Once in a while,Slightly caring,Slightly supportive,Do not trust at all,Not at all respectful,Quite challenging
a4-11,n,,,,,,,,,,,,,,,,,,,,,,,,,
a4-12,n,,,,,,,,,,,,,,,,,,,,,,,,,
a4-13,n,,,,,,,,,,,,,,,,,,,,,,,,,
a4-14,y,Extremely enthusiastic,Not at all trusted,Not at all positive,Quite supportive,Somewhat respectful,Slightly optimistic,Frequently,Somewhat supportive,Slightly positive,Slightly positive,Somewhat important,Slightly positive,Somewhat effectively,Quite knowledgeable,Extremely responsive,Somewhat effective,Quite clearly,Some input,Extremely friendly,Frequently,Quite caring,Extremely supportive,Trust quite a bit,Extremely respectful,Slightly challenging
a4-15,y,Slightly enthusiastic,Trusted quite a bit,Extremely positive,Somewhat supportive,Extremely respectful,Quite optimistic,Frequently,Extremely supportive,Quite positive,Quite positive,Quite important,Quite positive,Quite effectively,Extremely knowledgeable,Somewhat responsive,Slightly effective,Somewhat clearly,Quite a bit of input,Extremely friendly,Almost all the time,Extremely caring,Quite supportive,Trust some,Slightly respectful,Extremely challenging
a4-16,n,,,,,,,,,,,,,,,,,,,,,,,,,
