"id","answered","enthusiastic_students","staff_trusted","positive_colleagues","supportive_students","respectful_staff_students","optimistic_improvement","students_help_students","colleagues_support_initiatives","positive_environment","positive_leaders","leaders_important_staff_satisfied","leaders_positive_influence","leaders_communicate_effective","leaders_knowledge","leaders_responsive","leaders_effective_rules","leaders_clear_goals","staff_input","friendly_families","meet_families","caring_families","supportive_families","trust_parents","respectful_parents","challenging_families"
e2-1,n,,,,,,,,,,,,,,,,,,,,,,,,,
e2-2,y,Slightly enthusiastic,Trusted a tremendous amount,Quite positive,Somewhat supportive,Quite respectful,Quite optimistic,Sometimes,Quite supportive,Somewhat positive,Extremely positive,Quite important,Somewhat positive,Slightly effectively,Somewhat knowledgeable,Somewhat responsive,Quite effective,Extremely clearly,Quite a bit of input,Somewhat friendly,Sometimes,Slightly caring,Somewhat supportive,Trust some,Somewhat respectful,Slightly challenging
e2-3,y,Not at all enthusiastic,Trusted quite a bit,Somewhat positive,Somewhat supportive,Quite respectful,Somewhat optimistic,Frequently,Quite supportive,Extremely positive,Quite positive,Somewhat important,Quite positive,Quite effectively,Quite knowledgeable,Somewhat responsive,Quite effective,Quite clearly,A tremendous amount of input,Somewhat friendly,Once in a while,Quite caring,Somewhat supportive,Trust quite a bit,Extremely respectful,Somewhat challenging
e2-4,y,Slightly enthusiastic,Not at all trusted,Quite positive,Not at all supportive,Extremely respectful,Quite optimistic,Almost never,Somewhat supportive,Quite positive,Somewhat positive,Quite important,Somewhat positive,Slightly effectively,Not knowledgeable at all,Somewhat responsive,Somewhat effective,Slightly clearly,Almost no input,Slightly friendly,Frequently,Not at all caring,Not at all supportive,Trust a little bit,Not at all respectful,Extremely challenging
e2-5,n,,,,,,,,,,,,,,,,,,,,,,,,,
e2-6,n,,,,,,,,,,,,,,,,,,,,,,,,,
e2-7,y,Slightly enthusiastic,Trusted a little bit,Not at all positive,Not at all supportive,Not at all respectful,Slightly optimistic,Almost never,Not at all supportive,Slightly positive,Not at all positive,Slightly important,Not at all positive,Somewhat effectively,Quite knowledgeable,Quite responsive,Somewhat effective,Slightly clearly,A little bit of input,Slightly friendly,Frequently,Somewhat caring,Slightly supportive,Do not trust at all,Not at all respectful,Somewhat challenging
e2-8,y,Extremely enthusiastic,Not at all trusted,Not at all positive,Quite supportive,Not at all respectful,Slightly optimistic,Sometimes,Somewhat supportive,Quite positive,Somewhat positive,Somewhat important,Somewhat positive,Slightly effectively,Not knowledgeable at all,Somewhat responsive,Somewhat effective,Quite clearly,Quite a bit of input,Somewhat friendly,Once in a while,Slightly caring,Somewhat supportive,Trust quite a bit,Quite respectful,Not at all challenging
e2-9,y,Quite enthusiastic,Trusted quite a bit,Extremely positive,Extremely supportive,Extremely respectful,Quite optimistic,Almost all the time,Quite supportive,Quite positive,Quite positive,Somewhat important,Quite positive,Extremely effectively,Somewhat knowledgeable,Slightly responsive,Somewhat effective,Somewhat clearly,Some input,Somewhat friendly,Frequently,Quite caring,Somewhat supportive,Trust some,Slightly respectful,Extremely challenging
e2-10,n,,,,,,,,,,,,,,,,,,,,,,,,,
e2-11,y,Quite enthusiastic,Trusted a little bit,Somewhat positive,Somewhat supportive,Somewhat respectful,Slightly optimistic,Once in a while,Somewhat supportive,Somewhat positive,Somewhat positive,Somewhat important,Slightly positive,Slightly effectively,Somewhat knowledgeable,Quite responsive,Extremely effective,Quite clearly,Quite a bit of input,Slightly friendly,Almost all the time,Not at all caring,Somewhat supportive,Trust some,Slightly respectful,Quite challenging
e2-12,n,,,,,,,,,,,,,,,,,,,,,,,,,
e2-13,n,,,,,,,,,,,,,,,,,,,,,,,,,
e2-14,n,,,,,,,,,,,,,,,,,,,,,,,,,
e2-15,n,,,,,,,,,,,,,,,,,,,,,,,,,
e2-16,n,,,,,,,,,,,,,,,,,,,,,,,,,
e2-17,n,,,,,,,,,,,,,,,,,,,,,,,,,
e2-18,n,,,,,,,,,,,,,,,,,,,,,,,,,
e2-19,n,,,,,,,,,,,,,,,,,,,,,,,,,
