"id","answered","enthusiastic_students","staff_trusted","positive_colleagues","supportive_students","respectful_staff_students","optimistic_improvement","students_help_students","colleagues_support_initiatives","positive_environment","positive_leaders","leaders_important_staff_satisfied","leaders_positive_influence","leaders_communicate_effective","leaders_knowledge","leaders_responsive","leaders_effective_rules","leaders_clear_goals","staff_input","friendly_families","meet_families","caring_families","supportive_families","trust_parents","respectful_parents","challenging_families"
e1-1,y,Somewhat enthusiastic,Trusted somewhat,Slightly positive,Somewhat supportive,Not at all respectful,Not at all optimistic,Once in a while,Slightly supportive,Not at all positive,Somewhat positive,Quite important,Quite positive,Quite effectively,Extremely knowledgeable,Extremely responsive,Extremely effective,Quite clearly,Quite a bit of input,Somewhat friendly,Almost never,Slightly caring,Not at all supportive,Do not trust at all,Somewhat respectful,Quite challenging
e1-2,n,,,,,,,,,,,,,,,,,,,,,,,,,
e1-3,y,Slightly enthusiastic,Trusted a tremendous amount,Slightly positive,Slightly supportive,Slightly respectful,Somewhat optimistic,Almost never,Quite supportive,Extremely positive,Quite positive,Quite important,Extremely positive,Extremely effectively,Quite knowledgeable,Extremely responsive,Extremely effective,Quite clearly,Some input,Somewhat friendly,Almost never,Slightly caring,Somewhat supportive,Trust quite a bit,Quite respectful,Slightly challenging
e1-4,n,,,,,,,,,,,,,,,,,,,,,,,,,
e1-5,y,Extremely enthusiastic,Trusted a little bit,Extremely positive,Extremely supportive,Extremely respectful,Extremely optimistic,Sometimes,Extremely supportive,Somewhat positive,Somewhat positive,Slightly important,Somewhat positive,Slightly effectively,Not knowledgeable at all,Slightly responsive,Somewhat effective,Somewhat clearly,Quite a bit of input,Slightly friendly,Sometimes,Not at all caring,Somewhat supportive,Trust some,Slightly respectful,Somewhat challenging
e1-6,n,,,,,,,,,,,,,,,,,,,,,,,,,
e1-7,n,,,,,,,,,,,,,,,,,,,,,,,,,
e1-8,y,Extremely enthusiastic,Trusted somewhat,Extremely positive,Extremely supportive,Somewhat respectful,Somewhat optimistic,Frequently,Slightly supportive,Slightly positive,Somewhat positive,Somewhat important,Somewhat positive,Quite effectively,Somewhat knowledgeable,Quite responsive,Extremely effective,Somewhat clearly,A little bit of input,Quite friendly,Sometimes,Quite caring,Quite supportive,Trust some,Quite respectful,Somewhat challenging
e1-9,n,,,,,,,,,,,,,,,,,,,,,,,,,
e1-10,n,,,,,,,,,,,,,,,,,,,,,,,,,
e1-11,n,,,,,,,,,,,,,,,,,,,,,,,,,
