id,answered,enthusiastic_students,staff_trusted,positive_colleagues,supportive_students,respectful_staff_students,optimistic_improvement,students_help_students,colleagues_support_initiatives,positive_environment,positive_leaders,leaders_important_staff_satisfied,leaders_positive_influence,leaders_communicate_effective,leaders_knowledge,leaders_responsive,leaders_effective_rules,leaders_clear_goals,staff_input,friendly_families,meet_families,caring_families,supportive_families,trust_parents,respectful_parents,challenging_families
e8-1,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-2,y,Somewhat enthusiastic,Trusted a little bit,Extremely positive,Slightly supportive,Quite respectful,Quite optimistic,Once in a while,Extremely supportive,Extremely positive,Slightly positive,Slightly important,Somewhat positive,Quite effectively,Somewhat knowledgeable,Slightly responsive,Not at all effective,Not at all clearly,Almost no input,Not at all friendly,Almost all the time,Slightly caring,Not at all supportive,Do not trust at all,Slightly respectful,Quite challenging
e8-3,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-4,y,Slightly enthusiastic,Not at all trusted,Somewhat positive,Somewhat supportive,Quite respectful,Slightly optimistic,Sometimes,Somewhat supportive,Quite positive,Somewhat positive,Somewhat important,Quite positive,Quite effectively,Somewhat knowledgeable,Quite responsive,Extremely effective,Quite clearly,Quite a bit of input,Somewhat friendly,Frequently,Quite caring,Extremely supportive,Trust quite a bit,Somewhat respectful,Somewhat challenging
e8-5,y,Not at all enthusiastic,Not at all trusted,Not at all positive,Not at all supportive,Not at all respectful,Slightly optimistic,Almost never,Slightly supportive,Somewhat positive,Not at all positive,Slightly important,Not at all positive,Slightly effectively,Not knowledgeable at all,Somewhat responsive,Quite effective,Extremely clearly,Some input,Not at all friendly,Frequently,Slightly caring,Somewhat supportive,Trust some,Quite respectful,Slightly challenging
e8-6,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-7,y,Slightly enthusiastic,Trusted somewhat,Somewhat positive,Slightly supportive,Quite respectful,Slightly optimistic,Once in a while,Somewhat supportive,Quite positive,Quite positive,Extremely important,Somewhat positive,Slightly effectively,Somewhat knowledgeable,Quite responsive,Quite effective,Extremely clearly,A tremendous amount of input,Not at all friendly,Once in a while,Somewhat caring,Slightly supportive,Trust some,Quite respectful,Not at all challenging
e8-8,y,Extremely enthusiastic,Trusted a little bit,Slightly positive,Quite supportive,Somewhat respectful,Somewhat optimistic,Sometimes,Somewhat supportive,Slightly positive,Somewhat positive,Slightly important,Not at all positive,Not at all effectively,Not knowledgeable at all,Slightly responsive,Somewhat effective,Slightly clearly,Almost no input,Somewhat friendly,Almost all the time,Quite caring,Quite supportive,Trust a tremendous amount,Quite respectful,Slightly challenging
e8-9,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-10,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-11,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-12,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-13,y,Slightly enthusiastic,Not at all trusted,Somewhat positive,Not at all supportive,Slightly respectful,Slightly optimistic,Almost never,Not at all supportive,Somewhat positive,Slightly positive,Slightly important,Slightly positive,Not at all effectively,Somewhat knowledgeable,Slightly responsive,Not at all effective,Somewhat clearly,Quite a bit of input,Slightly friendly,Sometimes,Not at all caring,Not at all supportive,Trust a little bit,Somewhat respectful,Slightly challenging
e8-14,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-15,y,Extremely enthusiastic,Trusted somewhat,Not at all positive,Extremely supportive,Not at all respectful,Somewhat optimistic,Sometimes,Quite supportive,Quite positive,Somewhat positive,Slightly important,Slightly positive,Slightly effectively,Somewhat knowledgeable,Quite responsive,Somewhat effective,Quite clearly,Quite a bit of input,Quite friendly,Once in a while,Extremely caring,Quite supportive,Trust a tremendous amount,Quite respectful,Somewhat challenging
e8-16,y,Somewhat enthusiastic,Trusted quite a bit,Quite positive,Quite supportive,Extremely respectful,Extremely optimistic,Frequently,Quite supportive,Extremely positive,Extremely positive,Somewhat important,Quite positive,Extremely effectively,Extremely knowledgeable,Extremely responsive,Extremely effective,Extremely clearly,Quite a bit of input,Extremely friendly,Sometimes,Extremely caring,Quite supportive,Trust a tremendous amount,Extremely respectful,Slightly challenging
e8-17,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-18,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-19,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-20,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-21,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-22,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-23,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-24,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-25,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-26,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-27,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-28,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-29,y,Extremely enthusiastic,Trusted a tremendous amount,Quite positive,Quite supportive,Quite respectful,Quite optimistic,Sometimes,Somewhat supportive,Slightly positive,Quite positive,Quite important,Somewhat positive,Somewhat effectively,Somewhat knowledgeable,Slightly responsive,Somewhat effective,Slightly clearly,A little bit of input,Somewhat friendly,Once in a while,Somewhat caring,Slightly supportive,Trust a little bit,Slightly respectful,Quite challenging
e8-30,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-31,y,Not at all enthusiastic,Trusted quite a bit,Quite positive,Somewhat supportive,Quite respectful,Extremely optimistic,Sometimes,Somewhat supportive,Quite positive,Quite positive,Extremely important,Somewhat positive,Somewhat effectively,Somewhat knowledgeable,Slightly responsive,Slightly effective,Not at all clearly,Almost no input,Quite friendly,Sometimes,Extremely caring,Quite supportive,Trust a tremendous amount,Quite respectful,Slightly challenging
e8-32,y,Quite enthusiastic,Trusted a little bit,Not at all positive,Somewhat supportive,Somewhat respectful,Slightly optimistic,Once in a while,Slightly supportive,Not at all positive,Not at all positive,Slightly important,Not at all positive,Somewhat effectively,Slightly knowledgeable,Slightly responsive,Not at all effective,Not at all clearly,Almost no input,Slightly friendly,Frequently,Somewhat caring,Slightly supportive,Trust a little bit,Not at all respectful,Somewhat challenging
e8-33,y,Quite enthusiastic,Trusted a tremendous amount,Not at all positive,Quite supportive,Slightly respectful,Somewhat optimistic,Frequently,Slightly supportive,Not at all positive,Quite positive,Extremely important,Quite positive,Quite effectively,Quite knowledgeable,Quite responsive,Extremely effective,Somewhat clearly,Some input,Somewhat friendly,Almost never,Quite caring,Quite supportive,Trust some,Quite respectful,Not at all challenging
e8-34,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-35,y,Extremely enthusiastic,Trusted a tremendous amount,Extremely positive,Extremely supportive,Quite respectful,Somewhat optimistic,Sometimes,Somewhat supportive,Slightly positive,Extremely positive,Extremely important,Somewhat positive,Quite effectively,Somewhat knowledgeable,Quite responsive,Extremely effective,Somewhat clearly,Some input,Slightly friendly,Almost never,Not at all caring,Not at all supportive,Do not trust at all,Slightly respectful,Extremely challenging
e8-36,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e8-37,y,Quite enthusiastic,Trusted a little bit,Not at all positive,Somewhat supportive,Not at all respectful,Not at all optimistic,Frequently,Not at all supportive,Slightly positive,Not at all positive,Not important at all,Slightly positive,Not at all effectively,Not knowledgeable at all,Somewhat responsive,Somewhat effective,Somewhat clearly,A little bit of input,Somewhat friendly,Almost never,Slightly caring,Somewhat supportive,Trust a little bit,Not at all respectful,Somewhat challenging
