"id","answered","enthusiastic_students","staff_trusted","positive_colleagues","supportive_students","respectful_staff_students","optimistic_improvement","students_help_students","colleagues_support_initiatives","positive_environment","positive_leaders","leaders_important_staff_satisfied","leaders_positive_influence","leaders_communicate_effective","leaders_knowledge","leaders_responsive","leaders_effective_rules","leaders_clear_goals","staff_input","friendly_families","meet_families","caring_families","supportive_families","trust_parents","respectful_parents","challenging_families"
e13-1,y,Quite enthusiastic,Trusted a tremendous amount,Extremely positive,Extremely supportive,Somewhat respectful,Extremely optimistic,Sometimes,Somewhat supportive,Somewhat positive,Extremely positive,Extremely important,Somewhat positive,Quite effectively,Extremely knowledgeable,Somewhat responsive,Quite effective,Quite clearly,A tremendous amount of input,Quite friendly,Almost never,Somewhat caring,Slightly supportive,Trust some,Slightly respectful,Quite challenging
e13-2,n,,,,,,,,,,,,,,,,,,,,,,,,,
e13-3,n,,,,,,,,,,,,,,,,,,,,,,,,,
e13-4,y,Slightly enthusiastic,Trusted a tremendous amount,Extremely positive,Slightly supportive,Quite respectful,Quite optimistic,Once in a while,Quite supportive,Quite positive,Somewhat positive,Slightly important,Not at all positive,Somewhat effectively,Slightly knowledgeable,Somewhat responsive,Quite effective,Quite clearly,A tremendous amount of input,Not at all friendly,Once in a while,Slightly caring,Not at all supportive,Do not trust at all,Slightly respectful,Somewhat challenging
e13-5,y,Not at all enthusiastic,Not at all trusted,Not at all positive,Somewhat supportive,Somewhat respectful,Not at all optimistic,Once in a while,Somewhat supportive,Slightly positive,Slightly positive,Not important at all,Not at all positive,Somewhat effectively,Slightly knowledgeable,Slightly responsive,Somewhat effective,Slightly clearly,Almost no input,Not at all friendly,Almost never,Somewhat caring,Somewhat supportive,Trust a little bit,Not at all respectful,Somewhat challenging
e13-6,y,Somewhat enthusiastic,Trusted a tremendous amount,Quite positive,Somewhat supportive,Quite respectful,Somewhat optimistic,Frequently,Slightly supportive,Not at all positive,Quite positive,Extremely important,Somewhat positive,Quite effectively,Extremely knowledgeable,Extremely responsive,Somewhat effective,Quite clearly,A tremendous amount of input,Extremely friendly,Once in a while,Quite caring,Somewhat supportive,Trust quite a bit,Somewhat respectful,Quite challenging
e13-7,n,,,,,,,,,,,,,,,,,,,,,,,,,
e13-8,n,,,,,,,,,,,,,,,,,,,,,,,,,
e13-9,n,,,,,,,,,,,,,,,,,,,,,,,,,
e13-10,y,Not at all enthusiastic,Not at all trusted,Slightly positive,Not at all supportive,Not at all respectful,Slightly optimistic,Almost never,Not at all supportive,Slightly positive,Not at all positive,Somewhat important,Somewhat positive,Somewhat effectively,Somewhat knowledgeable,Somewhat responsive,Somewhat effective,Slightly clearly,A little bit of input,Somewhat friendly,Almost all the time,Slightly caring,Somewhat supportive,Trust quite a bit,Extremely respectful,Somewhat challenging
e13-11,y,Not at all enthusiastic,Trusted quite a bit,Quite positive,Slightly supportive,Quite respectful,Quite optimistic,Sometimes,Quite supportive,Somewhat positive,Extremely positive,Extremely important,Quite positive,Quite effectively,Extremely knowledgeable,Quite responsive,Extremely effective,Quite clearly,Quite a bit of input,Quite friendly,Almost never,Quite caring,Somewhat supportive,Trust a little bit,Not at all respectful,Extremely challenging
e13-12,y,Extremely enthusiastic,Trusted somewhat,Not at all positive,Extremely supportive,Slightly respectful,Slightly optimistic,Almost all the time,Not at all supportive,Somewhat positive,Quite positive,Extremely important,Somewhat positive,Slightly effectively,Not knowledgeable at all,Not at all responsive,Not at all effective,Somewhat clearly,Quite a bit of input,Quite friendly,Almost all the time,Quite caring,Somewhat supportive,Trust some,Quite respectful,Not at all challenging
