id,answered,concerned_teacher,how_teacher,again_teacher,respect_teacher,disrespectful_people,understand_people,energy_school,fights_students,support_adults,fair_rules,online_bully,respect_students,behavior_students,school_violence,belong_school,excited_teacher,adult_help
stu-e5-1,y,Slightly concerned,Almost never,Slightly excited,Not at all respectful,Almost never,Completely understand,Neither negative or positive,Almost always,A little bit of support,Slightly fair,Somewhat likely,Some respect,Neither helps nor hurts my learning,Almost never,Belong somewhat,Almost never,Quite difficult
stu-e5-2,y,Extremely concerned,Frequently,Somewhat excited,Quite respectful,Sometimes,Understand quite a bit,Somewhat positive,Once in a while,A tremendous amount of support,Neither unfair or fair,Slightly likely,No respect at all,Hurts my learning some,Frequently,Do not belong at all,Frequently,Somewhat difficult
stu-e5-3,y,Extremely concerned,Almost always,Somewhat excited,Somewhat respectful,Almost always,Understand a little,Slightly negative,Almost always,A little bit of support,Slightly unfair,Quite likely,Quite a bit of respect,Helps my learning a tremendous amount,Sometimes,Belong somewhat,Once in a while,Somewhat difficult
stu-e5-4,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e5-5,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e5-6,y,Quite concerned,Sometimes,Quite excited,Somewhat respectful,Almost always,Do not understand at all,Somewhat negative,Frequently,A little bit of support,Slightly unfair,Somewhat likely,Quite a bit of respect,Helps my learning a tremendous amount,Almost always,Belong a little bit,Sometimes,Somewhat difficult
stu-e5-7,y,Not at all concerned,Once in a while,Somewhat excited,Quite respectful,Almost always,Understand a little,Very negative,Almost always,A tremendous amount of support,Neither unfair or fair,Extremely likely,Quite a bit of respect,Helps my learning a tremendous amount,Frequently,Belong somewhat,Frequently,Somewhat difficult
stu-e5-8,y,Quite concerned,Frequently,Somewhat excited,Slightly respectful,Almost always,Understand a little,Very negative,Almost never,A little bit of support,Neither unfair or fair,Quite likely,A little bit of respect,Hurts my learning some,Sometimes,Belong quite a bit,Almost never,Extremely difficult
stu-e5-9,y,Slightly concerned,Almost never,Slightly excited,Somewhat respectful,Once in a while,Completely understand,Slightly positive,Almost always,A little bit of support,Somewhat fair,Somewhat likely,A tremendous amount of respect,Helps my learning a little bit,Once in a while,Completely belong,Once in a while,Extremely difficult
stu-e5-10,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e5-11,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e5-12,y,Not at all concerned,Almost never,Slightly excited,Somewhat respectful,Sometimes,Understand somewhat,Neither negative or positive,Almost never,Some support,Neither unfair or fair,Quite likely,No respect at all,Hurts my learning a tremendous amount,Sometimes,Belong a little bit,Sometimes,Somewhat difficult
stu-e5-13,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e5-14,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e5-15,y,Somewhat concerned,Sometimes,Slightly excited,Not at all respectful,Frequently,Understand a little,Neither negative or positive,Almost always,A tremendous amount of support,Slightly fair,Somewhat likely,A tremendous amount of respect,Helps my learning a little bit,Almost never,Belong quite a bit,Once in a while,Not at all difficult
stu-e5-16,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e5-17,y,Somewhat concerned,Once in a while,Somewhat excited,Somewhat respectful,Frequently,Do not understand at all,Very negative,Sometimes,No support at all,Neither unfair or fair,Somewhat likely,Some respect,Neither helps nor hurts my learning,Sometimes,Belong quite a bit,Frequently,Somewhat difficult
stu-e5-18,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e5-19,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e5-20,y,Extremely concerned,Frequently,Extremely excited,Quite respectful,Sometimes,Understand quite a bit,Very positive,Almost never,Quite a bit of support,Slightly fair,Somewhat likely,A little bit of respect,Hurts my learning a tremendous amount,Almost never,Completely belong,Frequently,Somewhat difficult
stu-e5-21,y,Extremely concerned,Almost always,Extremely excited,Extremely respectful,Almost always,Do not understand at all,Somewhat negative,Sometimes,A tremendous amount of support,Slightly unfair,Somewhat likely,A little bit of respect,Hurts my learning some,Almost always,Belong somewhat,Frequently,Somewhat difficult
stu-e5-22,y,Quite concerned,Frequently,Extremely excited,Somewhat respectful,Once in a while,Understand quite a bit,Somewhat positive,Almost never,No support at all,Very fair,Not at all likely,No respect at all,Neither helps nor hurts my learning,Sometimes,Belong quite a bit,Sometimes,Somewhat difficult
stu-e5-23,y,Slightly concerned,Once in a while,Not at all excited,Not at all respectful,Almost never,Understand quite a bit,Slightly positive,Almost never,Quite a bit of support,Somewhat fair,Slightly likely,Some respect,Neither helps nor hurts my learning,Almost never,Belong quite a bit,Almost never,Somewhat difficult
stu-e5-24,y,Quite concerned,Frequently,Somewhat excited,Slightly respectful,Sometimes,Understand quite a bit,Somewhat positive,Once in a while,Some support,Very fair,Somewhat likely,No respect at all,Hurts my learning a tremendous amount,Almost never,Completely belong,Sometimes,Somewhat difficult
stu-e5-25,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e5-26,y,Somewhat concerned,Frequently,Extremely excited,Quite respectful,Frequently,Understand a little,Slightly negative,Frequently,A tremendous amount of support,Slightly unfair,Extremely likely,Quite a bit of respect,Helps my learning a tremendous amount,Almost always,Do not belong at all,Frequently,Slightly difficult
stu-e5-27,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e5-28,y,Somewhat concerned,Frequently,Extremely excited,Somewhat respectful,Once in a while,Completely understand,Slightly positive,Sometimes,Quite a bit of support,Slightly fair,Somewhat likely,Quite a bit of respect,Helps my learning some,Once in a while,Completely belong,Sometimes,Slightly difficult
stu-e5-29,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
