id,answered,concerned_teacher,how_teacher,again_teacher,respect_teacher,disrespectful_people,understand_people,energy_school,fights_students,support_adults,fair_rules,online_bully,respect_students,behavior_students,school_violence,belong_school,excited_teacher,adult_help
stu-e3-1,y,Extremely concerned,Almost always,Somewhat excited,Slightly respectful,Sometimes,Understand a little,Slightly negative,Almost never,Some support,Neither unfair or fair,Extremely likely,No respect at all,Neither helps nor hurts my learning,Frequently,Belong a little bit,Once in a while,Quite difficult
stu-e3-2,y,Slightly concerned,Almost never,Somewhat excited,Quite respectful,Sometimes,Understand a little,Slightly negative,Sometimes,A tremendous amount of support,Somewhat unfair,Quite likely,A little bit of respect,Hurts my learning a tremendous amount,Almost always,Do not belong at all,Sometimes,Slightly difficult
stu-e3-3,y,Not at all concerned,Once in a while,Not at all excited,Slightly respectful,Almost always,Do not understand at all,Somewhat negative,Almost always,A tremendous amount of support,Neither unfair or fair,Quite likely,Quite a bit of respect,Helps my learning a little bit,Once in a while,Completely belong,Once in a while,Not at all difficult
stu-e3-4,y,Extremely concerned,Sometimes,Somewhat excited,Quite respectful,Almost never,Understand quite a bit,Very positive,Sometimes,No support at all,Somewhat fair,Slightly likely,A little bit of respect,Hurts my learning a little bit,Sometimes,Belong somewhat,Frequently,Quite difficult
stu-e3-5,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-6,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-7,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-8,y,Quite concerned,Frequently,Extremely excited,Extremely respectful,Once in a while,Understand quite a bit,Somewhat positive,Almost never,Quite a bit of support,Very fair,Somewhat likely,Some respect,Helps my learning a little bit,Once in a while,Belong somewhat,Sometimes,Slightly difficult
stu-e3-9,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-10,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-11,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-12,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-13,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-14,y,Somewhat concerned,Once in a while,Not at all excited,Somewhat respectful,Almost always,Understand a little,Very negative,Frequently,Some support,Slightly unfair,Somewhat likely,A tremendous amount of respect,Helps my learning a tremendous amount,Frequently,Belong somewhat,Frequently,Somewhat difficult
stu-e3-15,y,Slightly concerned,Almost never,Slightly excited,Not at all respectful,Frequently,Do not understand at all,Neither negative or positive,Almost never,Some support,Slightly unfair,Quite likely,No respect at all,Neither helps nor hurts my learning,Almost always,Belong somewhat,Once in a while,Slightly difficult
stu-e3-16,y,Not at all concerned,Sometimes,Slightly excited,Somewhat respectful,Almost never,Understand quite a bit,Slightly positive,Almost always,A little bit of support,Slightly fair,Not at all likely,Some respect,Neither helps nor hurts my learning,Sometimes,Belong a little bit,Sometimes,Extremely difficult
stu-e3-17,y,Slightly concerned,Once in a while,Not at all excited,Somewhat respectful,Almost always,Do not understand at all,Neither negative or positive,Once in a while,A tremendous amount of support,Slightly unfair,Somewhat likely,No respect at all,Hurts my learning a tremendous amount,Almost always,Belong a little bit,Frequently,Somewhat difficult
stu-e3-18,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-19,y,Extremely concerned,Sometimes,Quite excited,Quite respectful,Frequently,Understand somewhat,Neither negative or positive,Almost always,A tremendous amount of support,Slightly fair,Quite likely,Quite a bit of respect,Helps my learning some,Sometimes,Belong a little bit,Frequently,Slightly difficult
stu-e3-20,y,Not at all concerned,Sometimes,Quite excited,Quite respectful,Sometimes,Understand a little,Very negative,Once in a while,Some support,Slightly unfair,Quite likely,No respect at all,Hurts my learning some,Sometimes,Belong quite a bit,Sometimes,Somewhat difficult
stu-e3-21,y,Somewhat concerned,Once in a while,Not at all excited,Slightly respectful,Almost never,Understand somewhat,Neither negative or positive,Almost always,A little bit of support,Slightly unfair,Quite likely,A tremendous amount of respect,Helps my learning some,Almost always,Do not belong at all,Once in a while,Extremely difficult
stu-e3-22,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-23,y,Somewhat concerned,Once in a while,Slightly excited,Somewhat respectful,Once in a while,Understand quite a bit,Somewhat positive,Once in a while,No support at all,Very fair,Slightly likely,No respect at all,Hurts my learning a tremendous amount,Sometimes,Belong a little bit,Sometimes,Somewhat difficult
stu-e3-24,y,Slightly concerned,Once in a while,Slightly excited,Slightly respectful,Sometimes,Understand somewhat,Slightly negative,Almost never,Some support,Slightly unfair,Somewhat likely,No respect at all,Hurts my learning a little bit,Sometimes,Belong quite a bit,Once in a while,Quite difficult
stu-e3-25,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-26,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-27,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-28,y,Not at all concerned,Almost never,Not at all excited,Somewhat respectful,Frequently,Do not understand at all,Very negative,Almost never,Quite a bit of support,Very unfair,Quite likely,A little bit of respect,Hurts my learning a little bit,Almost always,Do not belong at all,Once in a while,Slightly difficult
stu-e3-29,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-30,y,Somewhat concerned,Once in a while,Not at all excited,Not at all respectful,Almost always,Understand a little,Slightly negative,Sometimes,A little bit of support,Very unfair,Quite likely,A little bit of respect,Hurts my learning a tremendous amount,Almost always,Do not belong at all,Sometimes,Quite difficult
stu-e3-31,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-32,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-33,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-34,y,Extremely concerned,Almost always,Extremely excited,Extremely respectful,Almost always,Do not understand at all,Somewhat negative,Frequently,A little bit of support,Somewhat unfair,Quite likely,A tremendous amount of respect,Helps my learning some,Sometimes,Belong somewhat,Frequently,Quite difficult
stu-e3-35,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-36,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-37,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-38,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-39,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-40,y,Not at all concerned,Once in a while,Somewhat excited,Slightly respectful,Sometimes,Understand somewhat,Slightly positive,Almost always,A little bit of support,Slightly fair,Quite likely,A tremendous amount of respect,Helps my learning a little bit,Sometimes,Belong quite a bit,Almost never,Extremely difficult
stu-e3-41,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e3-42,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
