"id","answered","concerned_teacher","how_teacher","again_teacher","respect_teacher","disrespectful_people","understand_people","energy_school","fights_students","support_adults","fair_rules","online_bully","respect_students","behavior_students","school_violence","belong_school","excited_teacher","adult_help"
stu-e1-1,y,Extremely concerned,Sometimes,Slightly excited,Not at all respectful,Frequently,Do not understand at all,Somewhat negative,Once in a while,A tremendous amount of support,Very unfair,Somewhat likely,No respect at all,Hurts my learning some,Almost always,Belong somewhat,Sometimes,Slightly difficult
stu-e1-4,y,Quite concerned,Sometimes,Quite excited,Quite respectful,Once in a while,Understand quite a bit,Slightly positive,Almost always,A tremendous amount of support,Neither unfair or fair,Slightly likely,Some respect,Hurts my learning a little bit,Sometimes,Belong somewhat,Sometimes,Somewhat difficult
stu-e1-6,y,Slightly concerned,Sometimes,Slightly excited,Slightly respectful,Once in a while,Understand quite a bit,Very positive,Almost never,Some support,Neither unfair or fair,Slightly likely,A little bit of respect,Neither helps nor hurts my learning,Once in a while,Completely belong,Sometimes,Quite difficult
stu-e1-10,y,Not at all concerned,Once in a while,Slightly excited,Slightly respectful,Sometimes,Understand somewhat,Slightly positive,Once in a while,A tremendous amount of support,Somewhat fair,Somewhat likely,A little bit of respect,Hurts my learning a little bit,Almost never,Completely belong,Once in a while,Not at all difficult
stu-e1-14,y,Not at all concerned,Almost never,Somewhat excited,Slightly respectful,Frequently,Understand somewhat,Neither negative or positive,Once in a while,Quite a bit of support,Slightly fair,Slightly likely,A little bit of respect,Hurts my learning some,Sometimes,Belong a little bit,Once in a while,Not at all difficult
stu-e1-16,y,Slightly concerned,Almost never,Somewhat excited,Somewhat respectful,Sometimes,Understand a little,Very negative,Almost never,Quite a bit of support,Slightly unfair,Somewhat likely,No respect at all,Hurts my learning a tremendous amount,Sometimes,Belong quite a bit,Sometimes,Not at all difficult
stu-e1-17,y,Slightly concerned,Once in a while,Somewhat excited,Slightly respectful,Once in a while,Understand somewhat,Neither negative or positive,Frequently,A little bit of support,Slightly unfair,Quite likely,A tremendous amount of respect,Helps my learning some,Sometimes,Belong somewhat,Sometimes,Quite difficult
stu-e1-19,y,Extremely concerned,Sometimes,Quite excited,Quite respectful,Almost never,Understand quite a bit,Somewhat positive,Once in a while,A tremendous amount of support,Very fair,Not at all likely,No respect at all,Neither helps nor hurts my learning,Sometimes,Belong quite a bit,Almost always,Slightly difficult
stu-e1-20,y,Slightly concerned,Once in a while,Not at all excited,Somewhat respectful,Almost always,Do not understand at all,Slightly negative,Sometimes,A tremendous amount of support,Very unfair,Quite likely,Some respect,Hurts my learning a little bit,Sometimes,Belong somewhat,Once in a while,Somewhat difficult
stu-e1-21,y,Not at all concerned,Almost never,Not at all excited,Not at all respectful,Frequently,Understand a little,Somewhat negative,Frequently,Some support,Neither unfair or fair,Extremely likely,Some respect,Neither helps nor hurts my learning,Frequently,Belong somewhat,Sometimes,Somewhat difficult
stu-e1-22,y,Slightly concerned,Almost never,Not at all excited,Slightly respectful,Once in a while,Completely understand,Somewhat positive,Almost never,A tremendous amount of support,Somewhat fair,Not at all likely,A little bit of respect,Hurts my learning some,Sometimes,Belong a little bit,Sometimes,Not at all difficult
stu-e1-24,y,Slightly concerned,Sometimes,Somewhat excited,Slightly respectful,Once in a while,Understand somewhat,Slightly positive,Frequently,A little bit of support,Neither unfair or fair,Quite likely,Quite a bit of respect,Helps my learning a tremendous amount,Sometimes,Belong a little bit,Sometimes,Somewhat difficult
stu-e1-26,y,Quite concerned,Frequently,Extremely excited,Extremely respectful,Almost always,Understand somewhat,Neither negative or positive,Sometimes,Quite a bit of support,Neither unfair or fair,Quite likely,A little bit of respect,Neither helps nor hurts my learning,Once in a while,Belong quite a bit,Sometimes,Slightly difficult
stu-e1-29,y,Extremely concerned,Almost always,Quite excited,Somewhat respectful,Once in a while,Completely understand,Somewhat positive,Frequently,A little bit of support,Somewhat fair,Not at all likely,A tremendous amount of respect,Helps my learning a tremendous amount,Sometimes,Belong somewhat,Once in a while,Somewhat difficult
stu-e1-32,y,Somewhat concerned,Frequently,Somewhat excited,Somewhat respectful,Sometimes,Understand somewhat,Slightly negative,Almost never,A tremendous amount of support,Very unfair,Somewhat likely,A little bit of respect,Hurts my learning some,Frequently,Belong somewhat,Once in a while,Not at all difficult
stu-e1-33,y,Not at all concerned,Almost never,Somewhat excited,Slightly respectful,Once in a while,Understand quite a bit,Somewhat positive,Almost always,A little bit of support,Very fair,Not at all likely,A tremendous amount of respect,Helps my learning some,Sometimes,Belong somewhat,Almost never,Quite difficult
stu-e1-34,y,Somewhat concerned,Once in a while,Somewhat excited,Quite respectful,Almost never,Completely understand,Somewhat positive,Once in a while,No support at all,Neither unfair or fair,Somewhat likely,Some respect,Neither helps nor hurts my learning,Once in a while,Belong somewhat,Frequently,Extremely difficult
stu-e1-35,y,Quite concerned,Sometimes,Quite excited,Somewhat respectful,Frequently,Understand a little,Somewhat negative,Frequently,A little bit of support,Somewhat unfair,Extremely likely,Some respect,Helps my learning a little bit,Sometimes,Belong somewhat,Sometimes,Extremely difficult
stu-e1-37,y,Slightly concerned,Once in a while,Slightly excited,Not at all respectful,Frequently,Do not understand at all,Slightly negative,Sometimes,Quite a bit of support,Very unfair,Somewhat likely,A little bit of respect,Neither helps nor hurts my learning,Sometimes,Belong a little bit,Once in a while,Not at all difficult
stu-e1-41,y,Somewhat concerned,Frequently,Somewhat excited,Somewhat respectful,Frequently,Do not understand at all,Neither negative or positive,Almost never,A little bit of support,Slightly unfair,Somewhat likely,Some respect,Neither helps nor hurts my learning,Sometimes,Belong quite a bit,Once in a while,Somewhat difficult
stu-e1-42,y,Not at all concerned,Almost never,Slightly excited,Slightly respectful,Frequently,Do not understand at all,Somewhat negative,Once in a while,Some support,Neither unfair or fair,Quite likely,Some respect,Hurts my learning a little bit,Once in a while,Belong somewhat,Sometimes,Quite difficult
stu-e1-43,y,Not at all concerned,Sometimes,Somewhat excited,Slightly respectful,Almost always,Do not understand at all,Somewhat negative,Almost always,A little bit of support,Somewhat unfair,Quite likely,Quite a bit of respect,Neither helps nor hurts my learning,Frequently,Belong a little bit,Almost never,Somewhat difficult
stu-e1-47,y,Quite concerned,Almost always,Extremely excited,Extremely respectful,Almost never,Understand quite a bit,Neither negative or positive,Sometimes,Some support,Slightly unfair,Not at all likely,Some respect,Neither helps nor hurts my learning,Sometimes,Belong a little bit,Almost always,Quite difficult
stu-e1-49,y,Slightly concerned,Almost never,Somewhat excited,Somewhat respectful,Almost always,Understand a little,Neither negative or positive,Almost never,Quite a bit of support,Neither unfair or fair,Somewhat likely,A little bit of respect,Hurts my learning a tremendous amount,Once in a while,Belong quite a bit,Frequently,Slightly difficult
stu-e1-51,y,Slightly concerned,Sometimes,Slightly excited,Somewhat respectful,Almost never,Understand quite a bit,Neither negative or positive,Almost always,A little bit of support,Neither unfair or fair,Somewhat likely,A tremendous amount of respect,Neither helps nor hurts my learning,Sometimes,Belong somewhat,Once in a while,Quite difficult
stu-e1-52,y,Slightly concerned,Once in a while,Not at all excited,Not at all respectful,Sometimes,Understand quite a bit,Slightly positive,Almost never,No support at all,Very fair,Slightly likely,Some respect,Helps my learning a little bit,Almost never,Completely belong,Almost never,Quite difficult
stu-e1-53,y,Slightly concerned,Sometimes,Somewhat excited,Somewhat respectful,Almost always,Understand a little,Somewhat negative,Once in a while,Some support,Somewhat unfair,Somewhat likely,No respect at all,Neither helps nor hurts my learning,Frequently,Belong a little bit,Sometimes,Somewhat difficult
stu-e1-59,y,Somewhat concerned,Sometimes,Slightly excited,Not at all respectful,Almost always,Do not understand at all,Somewhat negative,Sometimes,Some support,Slightly unfair,Extremely likely,A little bit of respect,Neither helps nor hurts my learning,Frequently,Belong somewhat,Sometimes,Quite difficult
stu-e1-65,y,Quite concerned,Almost always,Extremely excited,Extremely respectful,Frequently,Understand a little,Neither negative or positive,Almost never,Some support,Slightly unfair,Extremely likely,A little bit of respect,Neither helps nor hurts my learning,Almost always,Belong somewhat,Almost always,Somewhat difficult
stu-e1-68,y,Not at all concerned,Once in a while,Somewhat excited,Slightly respectful,Once in a while,Understand somewhat,Neither negative or positive,Frequently,Some support,Neither unfair or fair,Slightly likely,A tremendous amount of respect,Helps my learning a little bit,Frequently,Belong somewhat,Once in a while,Slightly difficult
stu-e1-69,y,Somewhat concerned,Frequently,Extremely excited,Quite respectful,Almost never,Understand somewhat,Slightly negative,Frequently,No support at all,Neither unfair or fair,Quite likely,Some respect,Hurts my learning a little bit,Sometimes,Belong quite a bit,Sometimes,Quite difficult
stu-e1-71,y,Not at all concerned,Sometimes,Slightly excited,Slightly respectful,Almost always,Understand a little,Neither negative or positive,Frequently,Quite a bit of support,Slightly unfair,Quite likely,A tremendous amount of respect,Helps my learning some,Sometimes,Belong quite a bit,Once in a while,Somewhat difficult
stu-e1-72,y,Slightly concerned,Almost never,Not at all excited,Somewhat respectful,Frequently,Understand somewhat,Slightly positive,Frequently,No support at all,Somewhat fair,Quite likely,Quite a bit of respect,Neither helps nor hurts my learning,Sometimes,Belong quite a bit,Frequently,Extremely difficult
stu-e1-76,y,Not at all concerned,Sometimes,Quite excited,Quite respectful,Almost never,Completely understand,Somewhat positive,Once in a while,Some support,Neither unfair or fair,Slightly likely,A little bit of respect,Hurts my learning a tremendous amount,Once in a while,Belong somewhat,Frequently,Somewhat difficult
stu-e1-77,y,Extremely concerned,Almost always,Somewhat excited,Quite respectful,Once in a while,Understand somewhat,Slightly positive,Once in a while,A tremendous amount of support,Somewhat fair,Slightly likely,Some respect,Helps my learning a little bit,Almost never,Belong somewhat,Frequently,Not at all difficult
stu-e1-78,y,Slightly concerned,Almost never,Not at all excited,Slightly respectful,Frequently,Do not understand at all,Somewhat negative,Sometimes,Some support,Neither unfair or fair,Somewhat likely,Quite a bit of respect,Helps my learning a little bit,Sometimes,Belong somewhat,Once in a while,Somewhat difficult
stu-e1-81,y,Extremely concerned,Sometimes,Somewhat excited,Quite respectful,Almost never,Understand quite a bit,Very positive,Frequently,No support at all,Very fair,Not at all likely,A tremendous amount of respect,Helps my learning a tremendous amount,Once in a while,Belong somewhat,Frequently,Quite difficult
stu-e1-85,y,Extremely concerned,Almost always,Extremely excited,Extremely respectful,Almost never,Understand somewhat,Slightly positive,Almost never,A little bit of support,Slightly fair,Quite likely,Some respect,Hurts my learning a little bit,Once in a while,Belong somewhat,Sometimes,Extremely difficult
stu-e1-86,y,Not at all concerned,Once in a while,Not at all excited,Somewhat respectful,Sometimes,Understand quite a bit,Slightly positive,Once in a while,A tremendous amount of support,Slightly fair,Not at all likely,No respect at all,Hurts my learning some,Almost never,Belong quite a bit,Sometimes,Slightly difficult
stu-e1-89,y,Somewhat concerned,Frequently,Extremely excited,Somewhat respectful,Frequently,Understand somewhat,Slightly positive,Sometimes,Quite a bit of support,Somewhat fair,Quite likely,Quite a bit of respect,Helps my learning some,Sometimes,Belong somewhat,Sometimes,Not at all difficult
stu-e1-91,y,Somewhat concerned,Frequently,Quite excited,Extremely respectful,Sometimes,Understand somewhat,Slightly negative,Once in a while,A tremendous amount of support,Somewhat unfair,Somewhat likely,A little bit of respect,Hurts my learning a little bit,Frequently,Do not belong at all,Sometimes,Slightly difficult
stu-e1-92,y,Extremely concerned,Sometimes,Quite excited,Quite respectful,Frequently,Understand a little,Neither negative or positive,Frequently,No support at all,Neither unfair or fair,Quite likely,Quite a bit of respect,Neither helps nor hurts my learning,Once in a while,Belong quite a bit,Almost always,Quite difficult
stu-e1-94,y,Slightly concerned,Sometimes,Somewhat excited,Somewhat respectful,Once in a while,Completely understand,Slightly positive,Almost never,A little bit of support,Slightly fair,Not at all likely,No respect at all,Neither helps nor hurts my learning,Almost never,Completely belong,Once in a while,Somewhat difficult
