"id","answered","enthusiastic_students","staff_trusted","positive_colleagues","supportive_students","respectful_staff_students","optimistic_improvement","students_help_students","colleagues_support_initiatives","positive_environment","positive_leaders","leaders_important_staff_satisfied","leaders_positive_influence","leaders_communicate_effective","leaders_knowledge","leaders_responsive","leaders_effective_rules","leaders_clear_goals","staff_input","friendly_families","meet_families","caring_families","supportive_families","trust_parents","respectful_parents","challenging_families"
h2-1,y,Somewhat enthusiastic,Trusted quite a bit,Slightly positive,Somewhat supportive,Slightly respectful,Somewhat optimistic,Sometimes,Quite supportive,Quite positive,Quite positive,Somewhat important,Slightly positive,Somewhat effectively,Slightly knowledgeable,Not at all responsive,Not at all effective,Slightly clearly,Almost no input,Quite friendly,Once in a while,Quite caring,Quite supportive,Trust some,Quite respectful,Somewhat challenging
h2-2,y,Somewhat enthusiastic,Trusted somewhat,Somewhat positive,Slightly supportive,Somewhat respectful,Slightly optimistic,Almost never,Not at all supportive,Slightly positive,Slightly positive,Slightly important,Not at all positive,Somewhat effectively,Quite knowledgeable,Extremely responsive,Somewhat effective,Somewhat clearly,A little bit of input,Not at all friendly,Almost never,Not at all caring,Not at all supportive,Trust some,Slightly respectful,Somewhat challenging
h2-4,y,Not at all enthusiastic,Trusted somewhat,Not at all positive,Somewhat supportive,Slightly respectful,Slightly optimistic,Frequently,Somewhat supportive,Somewhat positive,Quite positive,Somewhat important,Quite positive,Somewhat effectively,Somewhat knowledgeable,Quite responsive,Extremely effective,Somewhat clearly,A little bit of input,Somewhat friendly,Frequently,Slightly caring,Slightly supportive,Do not trust at all,Somewhat respectful,Slightly challenging
h2-6,y,Extremely enthusiastic,Trusted quite a bit,Extremely positive,Extremely supportive,Quite respectful,Extremely optimistic,Almost all the time,Somewhat supportive,Somewhat positive,Extremely positive,Quite important,Quite positive,Somewhat effectively,Quite knowledgeable,Extremely responsive,Extremely effective,Extremely clearly,Some input,Extremely friendly,Sometimes,Somewhat caring,Somewhat supportive,Trust quite a bit,Somewhat respectful,Quite challenging
h2-11,y,Somewhat enthusiastic,Trusted quite a bit,Not at all positive,Quite supportive,Not at all respectful,Somewhat optimistic,Sometimes,Somewhat supportive,Slightly positive,Quite positive,Somewhat important,Slightly positive,Slightly effectively,Somewhat knowledgeable,Quite responsive,Somewhat effective,Quite clearly,Some input,Slightly friendly,Almost all the time,Somewhat caring,Somewhat supportive,Trust quite a bit,Somewhat respectful,Somewhat challenging
h2-15,y,Quite enthusiastic,Not at all trusted,Slightly positive,Quite supportive,Slightly respectful,Slightly optimistic,Frequently,Somewhat supportive,Slightly positive,Slightly positive,Not important at all,Somewhat positive,Slightly effectively,Somewhat knowledgeable,Slightly responsive,Not at all effective,Slightly clearly,A little bit of input,Somewhat friendly,Frequently,Quite caring,Somewhat supportive,Trust a little bit,Somewhat respectful,Somewhat challenging
h2-16,y,Somewhat enthusiastic,Trusted a tremendous amount,Quite positive,Slightly supportive,Quite respectful,Quite optimistic,Once in a while,Somewhat supportive,Slightly positive,Quite positive,Extremely important,Quite positive,Somewhat effectively,Slightly knowledgeable,Not at all responsive,Somewhat effective,Slightly clearly,Almost no input,Slightly friendly,Sometimes,Not at all caring,Somewhat supportive,Trust quite a bit,Extremely respectful,Not at all challenging
h2-18,y,Extremely enthusiastic,Trusted a tremendous amount,Not at all positive,Somewhat supportive,Somewhat respectful,Slightly optimistic,Sometimes,Somewhat supportive,Somewhat positive,Quite positive,Extremely important,Somewhat positive,Somewhat effectively,Slightly knowledgeable,Somewhat responsive,Quite effective,Somewhat clearly,A little bit of input,Somewhat friendly,Once in a while,Somewhat caring,Quite supportive,Trust some,Slightly respectful,Extremely challenging
h2-19,y,Not at all enthusiastic,Trusted a tremendous amount,Quite positive,Slightly supportive,Quite respectful,Somewhat optimistic,Once in a while,Quite supportive,Somewhat positive,Quite positive,Quite important,Somewhat positive,Slightly effectively,Somewhat knowledgeable,Somewhat responsive,Somewhat effective,Quite clearly,Some input,Not at all friendly,Almost never,Slightly caring,Slightly supportive,Do not trust at all,Slightly respectful,Somewhat challenging
h2-21,y,Extremely enthusiastic,Trusted somewhat,Quite positive,Quite supportive,Quite respectful,Quite optimistic,Almost all the time,Extremely supportive,Somewhat positive,Quite positive,Quite important,Extremely positive,Extremely effectively,Extremely knowledgeable,Extremely responsive,Somewhat effective,Somewhat clearly,A little bit of input,Quite friendly,Once in a while,Quite caring,Somewhat supportive,Trust a little bit,Somewhat respectful,Slightly challenging
h2-23,y,Somewhat enthusiastic,Trusted quite a bit,Quite positive,Quite supportive,Quite respectful,Quite optimistic,Almost all the time,Somewhat supportive,Quite positive,Quite positive,Extremely important,Somewhat positive,Somewhat effectively,Quite knowledgeable,Extremely responsive,Somewhat effective,Quite clearly,Some input,Extremely friendly,Almost never,Quite caring,Somewhat supportive,Trust a little bit,Not at all respectful,Quite challenging
h2-27,y,Somewhat enthusiastic,Trusted a tremendous amount,Quite positive,Somewhat supportive,Somewhat respectful,Somewhat optimistic,Sometimes,Slightly supportive,Somewhat positive,Extremely positive,Quite important,Somewhat positive,Slightly effectively,Somewhat knowledgeable,Slightly responsive,Slightly effective,Not at all clearly,Some input,Quite friendly,Frequently,Somewhat caring,Slightly supportive,Do not trust at all,Slightly respectful,Somewhat challenging
h2-30,y,Somewhat enthusiastic,Trusted a little bit,Extremely positive,Quite supportive,Quite respectful,Somewhat optimistic,Frequently,Quite supportive,Quite positive,Somewhat positive,Slightly important,Not at all positive,Not at all effectively,Slightly knowledgeable,Not at all responsive,Not at all effective,Not at all clearly,Some input,Somewhat friendly,Once in a while,Somewhat caring,Quite supportive,Trust some,Slightly respectful,Quite challenging
h2-31,y,Not at all enthusiastic,Trusted a little bit,Slightly positive,Not at all supportive,Slightly respectful,Somewhat optimistic,Almost never,Somewhat supportive,Slightly positive,Slightly positive,Not important at all,Not at all positive,Somewhat effectively,Quite knowledgeable,Quite responsive,Quite effective,Quite clearly,Some input,Not at all friendly,Almost all the time,Slightly caring,Somewhat supportive,Trust a little bit,Somewhat respectful,Slightly challenging
h2-33,y,Not at all enthusiastic,Not at all trusted,Somewhat positive,Not at all supportive,Somewhat respectful,Somewhat optimistic,Once in a while,Slightly supportive,Slightly positive,Somewhat positive,Somewhat important,Quite positive,Quite effectively,Somewhat knowledgeable,Somewhat responsive,Slightly effective,Somewhat clearly,Quite a bit of input,Somewhat friendly,Almost all the time,Quite caring,Quite supportive,Trust quite a bit,Somewhat respectful,Slightly challenging
h2-34,y,Not at all enthusiastic,Trusted somewhat,Somewhat positive,Somewhat supportive,Somewhat respectful,Slightly optimistic,Frequently,Slightly supportive,Slightly positive,Somewhat positive,Quite important,Somewhat positive,Slightly effectively,Not knowledgeable at all,Not at all responsive,Somewhat effective,Somewhat clearly,Quite a bit of input,Extremely friendly,Sometimes,Quite caring,Extremely supportive,Trust some,Somewhat respectful,Quite challenging
h2-40,y,Somewhat enthusiastic,Trusted somewhat,Not at all positive,Somewhat supportive,Slightly respectful,Slightly optimistic,Sometimes,Somewhat supportive,Somewhat positive,Somewhat positive,Slightly important,Somewhat positive,Quite effectively,Somewhat knowledgeable,Somewhat responsive,Quite effective,Quite clearly,Some input,Somewhat friendly,Once in a while,Quite caring,Somewhat supportive,Trust some,Somewhat respectful,Quite challenging
h2-44,y,Slightly enthusiastic,Trusted a little bit,Somewhat positive,Somewhat supportive,Quite respectful,Slightly optimistic,Once in a while,Not at all supportive,Somewhat positive,Slightly positive,Somewhat important,Quite positive,Extremely effectively,Somewhat knowledgeable,Somewhat responsive,Slightly effective,Not at all clearly,A little bit of input,Slightly friendly,Almost never,Slightly caring,Not at all supportive,Trust a little bit,Not at all respectful,Extremely challenging
h2-45,y,Slightly enthusiastic,Trusted a little bit,Slightly positive,Somewhat supportive,Not at all respectful,Somewhat optimistic,Once in a while,Slightly supportive,Somewhat positive,Slightly positive,Slightly important,Slightly positive,Not at all effectively,Somewhat knowledgeable,Quite responsive,Quite effective,Extremely clearly,Quite a bit of input,Not at all friendly,Almost never,Slightly caring,Not at all supportive,Do not trust at all,Slightly respectful,Somewhat challenging
