"id","answered","enthusiastic_students","staff_trusted","positive_colleagues","supportive_students","respectful_staff_students","optimistic_improvement","students_help_students","colleagues_support_initiatives","positive_environment","positive_leaders","leaders_important_staff_satisfied","leaders_positive_influence","leaders_communicate_effective","leaders_knowledge","leaders_responsive","leaders_effective_rules","leaders_clear_goals","staff_input","friendly_families","meet_families","caring_families","supportive_families","trust_parents","respectful_parents","challenging_families"
h5-1,y,Slightly enthusiastic,Trusted a tremendous amount,Quite positive,Somewhat supportive,Somewhat respectful,Extremely optimistic,Frequently,Quite supportive,Quite positive,Extremely positive,Somewhat important,Somewhat positive,Quite effectively,Quite knowledgeable,Extremely responsive,Extremely effective,Extremely clearly,A tremendous amount of input,Quite friendly,Frequently,Quite caring,Extremely supportive,Trust some,Slightly respectful,Quite challenging
h5-2,n,,,,,,,,,,,,,,,,,,,,,,,,,
h5-3,y,Quite enthusiastic,Trusted a little bit,Slightly positive,Somewhat supportive,Somewhat respectful,Somewhat optimistic,Sometimes,Slightly supportive,Slightly positive,Slightly positive,Not important at all,Somewhat positive,Quite effectively,Quite knowledgeable,Quite responsive,Quite effective,Somewhat clearly,A little bit of input,Slightly friendly,Almost never,Not at all caring,Not at all supportive,Do not trust at all,Somewhat respectful,Slightly challenging
h5-4,y,Extremely enthusiastic,Trusted somewhat,Not at all positive,Extremely supportive,Somewhat respectful,Somewhat optimistic,Almost all the time,Quite supportive,Extremely positive,Quite positive,Extremely important,Extremely positive,Somewhat effectively,Slightly knowledgeable,Not at all responsive,Somewhat effective,Slightly clearly,A little bit of input,Extremely friendly,Almost all the time,Extremely caring,Quite supportive,Trust quite a bit,Somewhat respectful,Slightly challenging
h5-5,y,Slightly enthusiastic,Trusted quite a bit,Slightly positive,Not at all supportive,Somewhat respectful,Somewhat optimistic,Once in a while,Somewhat supportive,Slightly positive,Quite positive,Extremely important,Somewhat positive,Quite effectively,Quite knowledgeable,Quite responsive,Extremely effective,Quite clearly,Quite a bit of input,Slightly friendly,Frequently,Slightly caring,Slightly supportive,Trust some,Quite respectful,Somewhat challenging
h5-6,n,,,,,,,,,,,,,,,,,,,,,,,,,
h5-7,y,Somewhat enthusiastic,Trusted somewhat,Slightly positive,Quite supportive,Slightly respectful,Somewhat optimistic,Frequently,Somewhat supportive,Slightly positive,Quite positive,Extremely important,Quite positive,Extremely effectively,Quite knowledgeable,Quite responsive,Quite effective,Somewhat clearly,A little bit of input,Extremely friendly,Once in a while,Quite caring,Somewhat supportive,Trust a little bit,Not at all respectful,Extremely challenging
h5-8,n,,,,,,,,,,,,,,,,,,,,,,,,,
h5-9,y,Extremely enthusiastic,Trusted somewhat,Slightly positive,Extremely supportive,Not at all respectful,Not at all optimistic,Almost all the time,Not at all supportive,Not at all positive,Slightly positive,Somewhat important,Slightly positive,Somewhat effectively,Somewhat knowledgeable,Quite responsive,Quite effective,Quite clearly,Some input,Quite friendly,Almost all the time,Quite caring,Quite supportive,Trust a tremendous amount,Quite respectful,Slightly challenging
h5-10,y,Somewhat enthusiastic,Trusted quite a bit,Extremely positive,Slightly supportive,Extremely respectful,Extremely optimistic,Almost never,Extremely supportive,Extremely positive,Extremely positive,Quite important,Quite positive,Quite effectively,Extremely knowledgeable,Extremely responsive,Extremely effective,Extremely clearly,Some input,Somewhat friendly,Once in a while,Slightly caring,Not at all supportive,Do not trust at all,Somewhat respectful,Quite challenging
