id,answered,enthusiastic_students,staff_trusted,positive_colleagues,supportive_students,respectful_staff_students,optimistic_improvement,students_help_students,colleagues_support_initiatives,positive_environment,positive_leaders,leaders_important_staff_satisfied,leaders_positive_influence,leaders_communicate_effective,leaders_knowledge,leaders_responsive,leaders_effective_rules,leaders_clear_goals,staff_input,friendly_families,meet_families,caring_families,supportive_families,trust_parents,respectful_parents,challenging_families
h3-1,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-2,y,Not at all enthusiastic,Not at all trusted,Not at all positive,Somewhat supportive,Somewhat respectful,Slightly optimistic,Frequently,Slightly supportive,Somewhat positive,Slightly positive,Not important at all,Somewhat positive,Slightly effectively,Slightly knowledgeable,Not at all responsive,Slightly effective,Slightly clearly,A little bit of input,Extremely friendly,Frequently,Somewhat caring,Quite supportive,Trust a tremendous amount,Somewhat respectful,Slightly challenging
h3-3,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-4,y,Not at all enthusiastic,Not at all trusted,Somewhat positive,Somewhat supportive,Somewhat respectful,Quite optimistic,Once in a while,Somewhat supportive,Slightly positive,Slightly positive,Not important at all,Somewhat positive,Quite effectively,Somewhat knowledgeable,Quite responsive,Extremely effective,Extremely clearly,Quite a bit of input,Somewhat friendly,Almost all the time,Slightly caring,Slightly supportive,Trust a little bit,Somewhat respectful,Quite challenging
h3-5,y,Extremely enthusiastic,Not at all trusted,Quite positive,Somewhat supportive,Quite respectful,Quite optimistic,Once in a while,Quite supportive,Extremely positive,Somewhat positive,Slightly important,Slightly positive,Slightly effectively,Somewhat knowledgeable,Somewhat responsive,Slightly effective,Not at all clearly,Some input,Somewhat friendly,Sometimes,Slightly caring,Not at all supportive,Do not trust at all,Somewhat respectful,Quite challenging
h3-6,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-7,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-8,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-9,y,Extremely enthusiastic,Trusted a little bit,Slightly positive,Somewhat supportive,Slightly respectful,Slightly optimistic,Frequently,Slightly supportive,Somewhat positive,Slightly positive,Not important at all,Somewhat positive,Quite effectively,Quite knowledgeable,Quite responsive,Extremely effective,Extremely clearly,A tremendous amount of input,Somewhat friendly,Sometimes,Slightly caring,Slightly supportive,Do not trust at all,Not at all respectful,Extremely challenging
h3-10,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-11,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-12,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-13,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-14,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-15,y,Not at all enthusiastic,Not at all trusted,Somewhat positive,Slightly supportive,Quite respectful,Slightly optimistic,Sometimes,Not at all supportive,Not at all positive,Somewhat positive,Slightly important,Slightly positive,Not at all effectively,Not knowledgeable at all,Not at all responsive,Somewhat effective,Somewhat clearly,A little bit of input,Slightly friendly,Almost never,Somewhat caring,Quite supportive,Trust a tremendous amount,Quite respectful,Not at all challenging
h3-16,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-17,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-18,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-19,y,Not at all enthusiastic,Trusted somewhat,Quite positive,Not at all supportive,Extremely respectful,Somewhat optimistic,Sometimes,Somewhat supportive,Quite positive,Somewhat positive,Somewhat important,Quite positive,Somewhat effectively,Quite knowledgeable,Quite responsive,Extremely effective,Extremely clearly,Quite a bit of input,Slightly friendly,Frequently,Slightly caring,Slightly supportive,Do not trust at all,Not at all respectful,Somewhat challenging
h3-20,y,Somewhat enthusiastic,Not at all trusted,Not at all positive,Somewhat supportive,Not at all respectful,Somewhat optimistic,Sometimes,Quite supportive,Somewhat positive,Somewhat positive,Somewhat important,Slightly positive,Not at all effectively,Not knowledgeable at all,Somewhat responsive,Slightly effective,Not at all clearly,Some input,Somewhat friendly,Sometimes,Quite caring,Extremely supportive,Trust a tremendous amount,Somewhat respectful,Somewhat challenging
h3-21,y,Not at all enthusiastic,Trusted quite a bit,Quite positive,Slightly supportive,Somewhat respectful,Somewhat optimistic,Sometimes,Quite supportive,Quite positive,Somewhat positive,Somewhat important,Slightly positive,Somewhat effectively,Somewhat knowledgeable,Quite responsive,Quite effective,Quite clearly,A tremendous amount of input,Slightly friendly,Almost all the time,Somewhat caring,Quite supportive,Trust a tremendous amount,Somewhat respectful,Somewhat challenging
h3-22,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-23,y,Slightly enthusiastic,Trusted quite a bit,Somewhat positive,Somewhat supportive,Somewhat respectful,Somewhat optimistic,Once in a while,Somewhat supportive,Somewhat positive,Somewhat positive,Slightly important,Somewhat positive,Quite effectively,Somewhat knowledgeable,Somewhat responsive,Quite effective,Somewhat clearly,Quite a bit of input,Not at all friendly,Once in a while,Somewhat caring,Somewhat supportive,Trust some,Somewhat respectful,Slightly challenging
h3-24,y,Quite enthusiastic,Trusted a little bit,Quite positive,Quite supportive,Somewhat respectful,Somewhat optimistic,Sometimes,Somewhat supportive,Slightly positive,Somewhat positive,Somewhat important,Somewhat positive,Somewhat effectively,Somewhat knowledgeable,Quite responsive,Somewhat effective,Somewhat clearly,A little bit of input,Somewhat friendly,Frequently,Quite caring,Somewhat supportive,Trust a little bit,Somewhat respectful,Quite challenging
h3-25,y,Not at all enthusiastic,Not at all trusted,Quite positive,Slightly supportive,Quite respectful,Somewhat optimistic,Sometimes,Quite supportive,Extremely positive,Somewhat positive,Slightly important,Slightly positive,Not at all effectively,Not knowledgeable at all,Slightly responsive,Not at all effective,Slightly clearly,Almost no input,Somewhat friendly,Almost all the time,Slightly caring,Slightly supportive,Do not trust at all,Not at all respectful,Quite challenging
h3-26,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-27,y,Not at all enthusiastic,Not at all trusted,Not at all positive,Not at all supportive,Not at all respectful,Slightly optimistic,Once in a while,Somewhat supportive,Somewhat positive,Not at all positive,Somewhat important,Quite positive,Extremely effectively,Extremely knowledgeable,Somewhat responsive,Slightly effective,Slightly clearly,A little bit of input,Somewhat friendly,Frequently,Slightly caring,Somewhat supportive,Trust some,Somewhat respectful,Slightly challenging
h3-28,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-29,y,Quite enthusiastic,Trusted a little bit,Extremely positive,Quite supportive,Extremely respectful,Extremely optimistic,Almost all the time,Quite supportive,Extremely positive,Not at all positive,Slightly important,Slightly positive,Somewhat effectively,Somewhat knowledgeable,Somewhat responsive,Slightly effective,Somewhat clearly,Quite a bit of input,Quite friendly,Once in a while,Quite caring,Extremely supportive,Trust some,Somewhat respectful,Somewhat challenging
h3-30,y,Extremely enthusiastic,Trusted quite a bit,Not at all positive,Quite supportive,Somewhat respectful,Somewhat optimistic,Frequently,Somewhat supportive,Quite positive,Extremely positive,Quite important,Extremely positive,Extremely effectively,Somewhat knowledgeable,Somewhat responsive,Quite effective,Quite clearly,A tremendous amount of input,Somewhat friendly,Frequently,Somewhat caring,Somewhat supportive,Trust a little bit,Not at all respectful,Extremely challenging
h3-31,y,Slightly enthusiastic,Trusted a little bit,Somewhat positive,Somewhat supportive,Quite respectful,Quite optimistic,Once in a while,Extremely supportive,Extremely positive,Somewhat positive,Slightly important,Slightly positive,Not at all effectively,Not knowledgeable at all,Somewhat responsive,Quite effective,Quite clearly,Some input,Not at all friendly,Almost never,Somewhat caring,Somewhat supportive,Trust a little bit,Not at all respectful,Quite challenging
h3-32,y,Extremely enthusiastic,Trusted quite a bit,Somewhat positive,Quite supportive,Quite respectful,Somewhat optimistic,Sometimes,Somewhat supportive,Somewhat positive,Somewhat positive,Somewhat important,Quite positive,Somewhat effectively,Quite knowledgeable,Quite responsive,Extremely effective,Extremely clearly,A tremendous amount of input,Slightly friendly,Almost all the time,Not at all caring,Slightly supportive,Do not trust at all,Somewhat respectful,Somewhat challenging
h3-33,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-34,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-35,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-36,y,Quite enthusiastic,Trusted a tremendous amount,Quite positive,Somewhat supportive,Somewhat respectful,Quite optimistic,Once in a while,Quite supportive,Somewhat positive,Extremely positive,Somewhat important,Somewhat positive,Slightly effectively,Not knowledgeable at all,Not at all responsive,Not at all effective,Somewhat clearly,Quite a bit of input,Somewhat friendly,Once in a while,Slightly caring,Slightly supportive,Trust some,Somewhat respectful,Slightly challenging
h3-37,y,Quite enthusiastic,Trusted a tremendous amount,Extremely positive,Quite supportive,Quite respectful,Somewhat optimistic,Almost all the time,Slightly supportive,Somewhat positive,Extremely positive,Somewhat important,Somewhat positive,Quite effectively,Quite knowledgeable,Somewhat responsive,Somewhat effective,Slightly clearly,A little bit of input,Extremely friendly,Once in a while,Somewhat caring,Somewhat supportive,Trust a little bit,Slightly respectful,Quite challenging
h3-38,y,Slightly enthusiastic,Trusted a little bit,Somewhat positive,Somewhat supportive,Quite respectful,Somewhat optimistic,Frequently,Somewhat supportive,Somewhat positive,Somewhat positive,Slightly important,Somewhat positive,Quite effectively,Quite knowledgeable,Somewhat responsive,Somewhat effective,Somewhat clearly,A little bit of input,Somewhat friendly,Almost all the time,Slightly caring,Not at all supportive,Trust a little bit,Slightly respectful,Extremely challenging
h3-39,y,Extremely enthusiastic,Trusted a little bit,Extremely positive,Quite supportive,Somewhat respectful,Extremely optimistic,Sometimes,Extremely supportive,Somewhat positive,Not at all positive,Slightly important,Slightly positive,Slightly effectively,Not knowledgeable at all,Somewhat responsive,Somewhat effective,Slightly clearly,Almost no input,Quite friendly,Almost never,Somewhat caring,Slightly supportive,Trust some,Quite respectful,Somewhat challenging
h3-40,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-41,y,Somewhat enthusiastic,Trusted a tremendous amount,Quite positive,Quite supportive,Quite respectful,Quite optimistic,Sometimes,Extremely supportive,Extremely positive,Somewhat positive,Quite important,Somewhat positive,Slightly effectively,Somewhat knowledgeable,Slightly responsive,Somewhat effective,Quite clearly,Quite a bit of input,Somewhat friendly,Once in a while,Slightly caring,Not at all supportive,Do not trust at all,Not at all respectful,Somewhat challenging
h3-42,y,Not at all enthusiastic,Trusted quite a bit,Quite positive,Slightly supportive,Somewhat respectful,Quite optimistic,Sometimes,Extremely supportive,Somewhat positive,Somewhat positive,Quite important,Somewhat positive,Quite effectively,Extremely knowledgeable,Somewhat responsive,Somewhat effective,Somewhat clearly,A little bit of input,Slightly friendly,Almost never,Slightly caring,Not at all supportive,Trust a little bit,Somewhat respectful,Quite challenging
h3-43,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-44,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-45,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-46,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
h3-47,y,Not at all enthusiastic,Trusted quite a bit,Not at all positive,Not at all supportive,Slightly respectful,Somewhat optimistic,Sometimes,Quite supportive,Quite positive,Quite positive,Somewhat important,Quite positive,Quite effectively,Extremely knowledgeable,Somewhat responsive,Quite effective,Extremely clearly,A tremendous amount of input,Somewhat friendly,Almost never,Somewhat caring,Slightly supportive,Trust a little bit,Somewhat respectful,Slightly challenging
