"id","answered","enthusiastic_students","staff_trusted","positive_colleagues","supportive_students","respectful_staff_students","optimistic_improvement","students_help_students","colleagues_support_initiatives","positive_environment","positive_leaders","leaders_important_staff_satisfied","leaders_positive_influence","leaders_communicate_effective","leaders_knowledge","leaders_responsive","leaders_effective_rules","leaders_clear_goals","staff_input","friendly_families","meet_families","caring_families","supportive_families","trust_parents","respectful_parents","challenging_families"
h1-1,n,,,,,,,,,,,,,,,,,,,,,,,,,
h1-2,y,Somewhat enthusiastic,Trusted a little bit,Extremely positive,Somewhat supportive,Extremely respectful,Somewhat optimistic,Sometimes,Slightly supportive,Somewhat positive,Slightly positive,Not important at all,Slightly positive,Not at all effectively,Not knowledgeable at all,Somewhat responsive,Quite effective,Extremely clearly,A tremendous amount of input,Quite friendly,Once in a while,Extremely caring,Extremely supportive,Trust some,Somewhat respectful,Slightly challenging
h1-3,y,Extremely enthusiastic,Trusted quite a bit,Not at all positive,Somewhat supportive,Not at all respectful,Not at all optimistic,Frequently,Somewhat supportive,Somewhat positive,Extremely positive,Extremely important,Somewhat positive,Slightly effectively,Slightly knowledgeable,Slightly responsive,Somewhat effective,Somewhat clearly,Quite a bit of input,Somewhat friendly,Once in a while,Slightly caring,Somewhat supportive,Trust quite a bit,Somewhat respectful,Somewhat challenging
h1-4,n,,,,,,,,,,,,,,,,,,,,,,,,,
h1-5,n,,,,,,,,,,,,,,,,,,,,,,,,,
h1-6,y,Somewhat enthusiastic,Trusted a tremendous amount,Slightly positive,Quite supportive,Not at all respectful,Somewhat optimistic,Almost all the time,Quite supportive,Extremely positive,Somewhat positive,Quite important,Somewhat positive,Quite effectively,Quite knowledgeable,Extremely responsive,Extremely effective,Quite clearly,A tremendous amount of input,Somewhat friendly,Once in a while,Somewhat caring,Somewhat supportive,Trust a little bit,Somewhat respectful,Somewhat challenging
h1-7,n,,,,,,,,,,,,,,,,,,,,,,,,,
h1-8,y,Extremely enthusiastic,Not at all trusted,Somewhat positive,Extremely supportive,Slightly respectful,Quite optimistic,Frequently,Quite supportive,Quite positive,Not at all positive,Slightly important,Somewhat positive,Quite effectively,Quite knowledgeable,Quite responsive,Quite effective,Somewhat clearly,A little bit of input,Somewhat friendly,Almost all the time,Somewhat caring,Somewhat supportive,Trust some,Somewhat respectful,Slightly challenging
h1-9,y,Not at all enthusiastic,Trusted somewhat,Somewhat positive,Somewhat supportive,Slightly respectful,Quite optimistic,Frequently,Quite supportive,Extremely positive,Somewhat positive,Slightly important,Not at all positive,Slightly effectively,Slightly knowledgeable,Not at all responsive,Somewhat effective,Quite clearly,Some input,Extremely friendly,Once in a while,Extremely caring,Quite supportive,Trust some,Somewhat respectful,Somewhat challenging
h1-10,n,,,,,,,,,,,,,,,,,,,,,,,,,
h1-11,n,,,,,,,,,,,,,,,,,,,,,,,,,
h1-12,n,,,,,,,,,,,,,,,,,,,,,,,,,
h1-13,y,Extremely enthusiastic,Not at all trusted,Quite positive,Extremely supportive,Extremely respectful,Somewhat optimistic,Frequently,Somewhat supportive,Slightly positive,Somewhat positive,Quite important,Somewhat positive,Quite effectively,Somewhat knowledgeable,Somewhat responsive,Quite effective,Quite clearly,Some input,Somewhat friendly,Almost all the time,Quite caring,Somewhat supportive,Trust a little bit,Somewhat respectful,Quite challenging
h1-14,y,Not at all enthusiastic,Trusted a tremendous amount,Quite positive,Somewhat supportive,Quite respectful,Quite optimistic,Frequently,Quite supportive,Somewhat positive,Quite positive,Extremely important,Extremely positive,Quite effectively,Quite knowledgeable,Somewhat responsive,Quite effective,Quite clearly,Quite a bit of input,Quite friendly,Almost never,Quite caring,Quite supportive,Trust a tremendous amount,Somewhat respectful,Quite challenging
h1-15,n,,,,,,,,,,,,,,,,,,,,,,,,,
h1-16,y,Quite enthusiastic,Trusted a tremendous amount,Slightly positive,Somewhat supportive,Somewhat respectful,Slightly optimistic,Once in a while,Slightly supportive,Not at all positive,Somewhat positive,Somewhat important,Quite positive,Somewhat effectively,Quite knowledgeable,Quite responsive,Somewhat effective,Slightly clearly,Some input,Not at all friendly,Almost all the time,Slightly caring,Not at all supportive,Trust some,Quite respectful,Slightly challenging
h1-17,y,Somewhat enthusiastic,Not at all trusted,Quite positive,Quite supportive,Quite respectful,Quite optimistic,Almost all the time,Quite supportive,Somewhat positive,Slightly positive,Somewhat important,Slightly positive,Not at all effectively,Somewhat knowledgeable,Slightly responsive,Slightly effective,Not at all clearly,A little bit of input,Somewhat friendly,Once in a while,Slightly caring,Slightly supportive,Do not trust at all,Slightly respectful,Somewhat challenging
