id,answered,respect_teacher,concerned_teacher,visit_teachers,how_teacher,again_teacher,disrespectful_people,understand_people,energy_school,fights_students,connected_adults,space_school,online_bully,respect_students,fair_rules,school_violence,matter_others,behavior_students,adult_help,belong_school,excited_teachers,unfair_adults,teachers_race,think_race,honest_race,encourage_race,share_race,often_race,adults_race,school_race
stu-h2-1,y,About half of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,Most of my teachers,Once in a while,Understand quite a bit,Slightly positive,Almost never,Quite connected,Somewhat pleasant,Somewhat likely,A tremendous amount of respect,Slightly fair,Sometimes,Matter a little bit,Helps my learning a little bit,Somewhat difficult,Belong somewhat,Frequently,Quite unfairly,Frequently,Almost never,Somewhat confident,Sometimes,Extremely comfortable,Once in a while,Once in a while,Quite well
stu-h2-2,y,All of my teachers,Most of my teachers,All of my teachers,Most of my teachers,Most of my teachers,Once in a while,Completely understand,Neither negative or positive,Sometimes,Slightly connected,Slightly unpleasant,Slightly likely,Some respect,Neither unfair or fair,Frequently,Do not matter at all,Helps my learning a little bit,Somewhat difficult,Belong somewhat,Frequently,Slightly unfairly,Almost always,Almost never,Quite confident,Once in a while,Extremely comfortable,Frequently,Almost always,Somewhat well
stu-h2-3,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-h2-4,y,A few of my teachers,About half of my teachers,Most of my teachers,About half of my teachers,Most of my teachers,Almost always,Do not understand at all,Slightly negative,Frequently,Slightly connected,Slightly unpleasant,Somewhat likely,A little bit of respect,Neither unfair or fair,Frequently,Matter a little bit,Hurts my learning a tremendous amount,Extremely difficult,Belong somewhat,Frequently,Somewhat unfairly,Frequently,Once in a while,Not at all confident,Once in a while,Somewhat comfortable,Once in a while,Frequently,Slightly well
stu-h2-5,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-h2-6,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-h2-7,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-h2-8,y,None of my teachers,A few of my teachers,None of my teachers,None of my teachers,A few of my teachers,Almost always,Do not understand at all,Slightly negative,Almost always,Not at all connected,Slightly unpleasant,Extremely likely,A little bit of respect,Somewhat unfair,Sometimes,Matter somewhat,Hurts my learning some,Extremely difficult,Belong a little bit,Sometimes,Quite unfairly,Once in a while,Almost always,Somewhat confident,Sometimes,Somewhat comfortable,Frequently,Once in a while,Somewhat well
stu-h2-9,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-h2-10,y,A few of my teachers,A few of my teachers,None of my teachers,About half of my teachers,A few of my teachers,Frequently,Do not understand at all,Very negative,Almost always,Not at all connected,Slightly unpleasant,Extremely likely,No respect at all,Slightly unfair,Sometimes,Matter a little bit,Hurts my learning a little bit,Extremely difficult,Belong a little bit,Almost never,Extremely unfairly,Sometimes,Almost never,Slightly confident,Once in a while,Slightly comfortable,Once in a while,Almost never,Somewhat well
