"id","answered","respect_teacher","concerned_teacher","visit_teachers","how_teacher","again_teacher","disrespectful_people","understand_people","energy_school","fights_students","connected_adults","space_school","online_bully","respect_students","fair_rules","school_violence","matter_others","behavior_students","adult_help","belong_school","excited_teachers","unfair_adults","teachers_race","think_race","honest_race","encourage_race","share_race","often_race","adults_race","school_race"
stu-h4-1,y,About half of my teachers,Most of my teachers,Most of my teachers,All of my teachers,All of my teachers,Almost never,Understand quite a bit,Neither negative or positive,Frequently,Somewhat connected,Neither pleasant or unpleasant,Slightly likely,Some respect,Neither unfair or fair,Once in a while,Matter a tremendous amount,Hurts my learning a little bit,Quite difficult,Belong quite a bit,Frequently,Extremely unfairly,Sometimes,Frequently,Somewhat confident,Sometimes,Somewhat comfortable,Once in a while,Once in a while,Slightly well
stu-h4-4,y,All of my teachers,All of my teachers,All of my teachers,Most of my teachers,Most of my teachers,Sometimes,Understand a little,Slightly negative,Almost always,Not at all connected,Neither pleasant or unpleasant,Extremely likely,Some respect,Slightly unfair,Sometimes,Matter quite a bit,Helps my learning a little bit,Somewhat difficult,Belong quite a bit,Almost always,Quite unfairly,Sometimes,Sometimes,Extremely confident,Sometimes,Slightly comfortable,Frequently,Sometimes,Slightly well
stu-h4-5,y,Most of my teachers,About half of my teachers,A few of my teachers,A few of my teachers,None of my teachers,Almost always,Understand somewhat,Slightly positive,Almost never,Somewhat connected,Neither pleasant or unpleasant,Slightly likely,A tremendous amount of respect,Slightly fair,Once in a while,Matter somewhat,Neither helps nor hurts my learning,Quite difficult,Belong quite a bit,Almost never,Somewhat unfairly,Sometimes,Almost never,Somewhat confident,Frequently,Slightly comfortable,Frequently,Frequently,Quite well
stu-h4-7,y,A few of my teachers,A few of my teachers,A few of my teachers,About half of my teachers,About half of my teachers,Once in a while,Understand quite a bit,Very positive,Once in a while,Extremely connected,Slightly pleasant,Somewhat likely,Quite a bit of respect,Somewhat fair,Almost never,Matter quite a bit,Helps my learning a tremendous amount,Somewhat difficult,Belong somewhat,Sometimes,Somewhat unfairly,Frequently,Almost always,Quite confident,Sometimes,Quite comfortable,Frequently,Once in a while,Somewhat well
stu-h4-8,y,Most of my teachers,All of my teachers,Most of my teachers,All of my teachers,All of my teachers,Sometimes,Understand somewhat,Slightly positive,Almost never,Extremely connected,Somewhat pleasant,Somewhat likely,A tremendous amount of respect,Somewhat fair,Sometimes,Matter somewhat,Neither helps nor hurts my learning,Not at all difficult,Belong a little bit,Sometimes,Not at all unfairly,Sometimes,Once in a while,Quite confident,Once in a while,Somewhat comfortable,Almost always,Frequently,Somewhat well
stu-h4-11,y,Most of my teachers,All of my teachers,All of my teachers,Most of my teachers,About half of my teachers,Once in a while,Understand somewhat,Slightly negative,Sometimes,Not at all connected,Very unpleasant,Quite likely,A little bit of respect,Somewhat unfair,Frequently,Matter a little bit,Neither helps nor hurts my learning,Extremely difficult,Do not belong at all,Frequently,Extremely unfairly,Sometimes,Almost always,Slightly confident,Almost never,Somewhat comfortable,Once in a while,Once in a while,Somewhat well
stu-h4-14,y,Most of my teachers,Most of my teachers,All of my teachers,Most of my teachers,About half of my teachers,Almost never,Understand somewhat,Slightly positive,Sometimes,Somewhat connected,Somewhat pleasant,Somewhat likely,A little bit of respect,Neither unfair or fair,Frequently,Matter a little bit,Hurts my learning a little bit,Slightly difficult,Belong somewhat,Once in a while,Somewhat unfairly,Once in a while,Frequently,Not at all confident,Sometimes,Somewhat comfortable,Once in a while,Once in a while,Somewhat well
stu-h4-17,y,A few of my teachers,A few of my teachers,About half of my teachers,Most of my teachers,All of my teachers,Almost never,Completely understand,Neither negative or positive,Frequently,Somewhat connected,Slightly pleasant,Somewhat likely,Some respect,Neither unfair or fair,Once in a while,Matter a tremendous amount,Hurts my learning a little bit,Somewhat difficult,Completely belong,Sometimes,Slightly unfairly,Frequently,Frequently,Somewhat confident,Frequently,Extremely comfortable,Once in a while,Sometimes,Extremely well
stu-h4-18,y,None of my teachers,A few of my teachers,About half of my teachers,About half of my teachers,A few of my teachers,Almost always,Do not understand at all,Neither negative or positive,Once in a while,Quite connected,Neither pleasant or unpleasant,Somewhat likely,Quite a bit of respect,Neither unfair or fair,Sometimes,Matter a little bit,Helps my learning a tremendous amount,Slightly difficult,Belong somewhat,Almost never,Slightly unfairly,Almost never,Frequently,Quite confident,Sometimes,Slightly comfortable,Sometimes,Almost always,Slightly well
stu-h4-19,y,All of my teachers,Most of my teachers,About half of my teachers,Most of my teachers,About half of my teachers,Sometimes,Understand somewhat,Slightly positive,Almost never,Somewhat connected,Very pleasant,Quite likely,Some respect,Very fair,Sometimes,Matter quite a bit,Hurts my learning a little bit,Slightly difficult,Belong somewhat,Once in a while,Slightly unfairly,Sometimes,Almost never,Not at all confident,Sometimes,Slightly comfortable,Sometimes,Frequently,Somewhat well
stu-h4-21,y,Most of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,A few of my teachers,Almost always,Do not understand at all,Slightly negative,Almost always,Somewhat connected,Very unpleasant,Quite likely,A little bit of respect,Somewhat unfair,Sometimes,Matter quite a bit,Hurts my learning some,Quite difficult,Completely belong,Once in a while,Somewhat unfairly,Almost never,Almost always,Not at all confident,Frequently,Not at all comfortable,Almost never,Frequently,Extremely well
stu-h4-22,y,About half of my teachers,About half of my teachers,Most of my teachers,Most of my teachers,All of my teachers,Sometimes,Understand a little,Neither negative or positive,Sometimes,Somewhat connected,Slightly pleasant,Somewhat likely,A little bit of respect,Slightly fair,Sometimes,Matter a little bit,Hurts my learning some,Somewhat difficult,Belong somewhat,Sometimes,Somewhat unfairly,Frequently,Frequently,Somewhat confident,Sometimes,Somewhat comfortable,Once in a while,Once in a while,Slightly well
stu-h4-23,y,A few of my teachers,A few of my teachers,None of my teachers,None of my teachers,A few of my teachers,Almost always,Understand somewhat,Neither negative or positive,Sometimes,Slightly connected,Slightly unpleasant,Somewhat likely,Some respect,Slightly unfair,Frequently,Do not matter at all,Hurts my learning a little bit,Extremely difficult,Belong somewhat,Once in a while,Extremely unfairly,Sometimes,Sometimes,Somewhat confident,Once in a while,Somewhat comfortable,Frequently,Sometimes,Slightly well
stu-h4-24,y,None of my teachers,About half of my teachers,About half of my teachers,About half of my teachers,About half of my teachers,Almost never,Understand quite a bit,Slightly positive,Sometimes,Quite connected,Neither pleasant or unpleasant,Somewhat likely,A little bit of respect,Neither unfair or fair,Once in a while,Matter quite a bit,Neither helps nor hurts my learning,Not at all difficult,Belong somewhat,Once in a while,Somewhat unfairly,Sometimes,Almost never,Quite confident,Once in a while,Somewhat comfortable,Sometimes,Sometimes,Somewhat well
stu-h4-25,y,Most of my teachers,All of my teachers,About half of my teachers,About half of my teachers,Most of my teachers,Frequently,Do not understand at all,Neither negative or positive,Once in a while,Slightly connected,Neither pleasant or unpleasant,Somewhat likely,Quite a bit of respect,Slightly unfair,Frequently,Do not matter at all,Neither helps nor hurts my learning,Extremely difficult,Belong a little bit,Almost always,Somewhat unfairly,Almost always,Almost never,Quite confident,Once in a while,Somewhat comfortable,Almost always,Once in a while,Somewhat well
stu-h4-28,y,All of my teachers,All of my teachers,All of my teachers,About half of my teachers,About half of my teachers,Sometimes,Understand somewhat,Neither negative or positive,Sometimes,Quite connected,Slightly pleasant,Quite likely,Some respect,Somewhat fair,Almost never,Matter quite a bit,Hurts my learning a little bit,Slightly difficult,Completely belong,Once in a while,Slightly unfairly,Once in a while,Once in a while,Somewhat confident,Frequently,Slightly comfortable,Frequently,Frequently,Quite well
