"id","answered","respect_teacher","concerned_teacher","visit_teachers","how_teacher","again_teacher","disrespectful_people","understand_people","energy_school","fights_students","connected_adults","space_school","online_bully","respect_students","fair_rules","school_violence","matter_others","behavior_students","adult_help","belong_school","excited_teachers","unfair_adults","teachers_race","think_race","honest_race","encourage_race","share_race","often_race","adults_race","school_race"
stu-h1-1,y,All of my teachers,About half of my teachers,Most of my teachers,All of my teachers,All of my teachers,Almost never,Understand somewhat,Neither negative or positive,Frequently,Somewhat connected,Neither pleasant or unpleasant,Slightly likely,No respect at all,Neither unfair or fair,Sometimes,Matter quite a bit,Hurts my learning some,Quite difficult,Belong quite a bit,Frequently,Extremely unfairly,Sometimes,Frequently,Somewhat confident,Almost always,Somewhat comfortable,Sometimes,Almost never,Quite well
stu-h1-4,y,A few of my teachers,A few of my teachers,A few of my teachers,A few of my teachers,None of my teachers,Once in a while,Understand quite a bit,Neither negative or positive,Sometimes,Quite connected,Slightly pleasant,Slightly likely,A little bit of respect,Neither unfair or fair,Sometimes,Matter somewhat,Hurts my learning a tremendous amount,Somewhat difficult,Belong quite a bit,Once in a while,Quite unfairly,Once in a while,Almost never,Slightly confident,Almost always,Slightly comfortable,Sometimes,Sometimes,Extremely well
stu-h1-5,y,Most of my teachers,All of my teachers,All of my teachers,Most of my teachers,All of my teachers,Once in a while,Understand somewhat,Slightly positive,Almost never,Quite connected,Slightly pleasant,Quite likely,A tremendous amount of respect,Slightly fair,Once in a while,Matter quite a bit,Helps my learning a tremendous amount,Somewhat difficult,Belong quite a bit,Frequently,Slightly unfairly,Frequently,Once in a while,Somewhat confident,Sometimes,Quite comfortable,Frequently,Almost always,Quite well
stu-h1-7,y,All of my teachers,About half of my teachers,About half of my teachers,About half of my teachers,Most of my teachers,Sometimes,Understand quite a bit,Slightly positive,Once in a while,Extremely connected,Very pleasant,Somewhat likely,Some respect,Slightly fair,Once in a while,Matter somewhat,Neither helps nor hurts my learning,Somewhat difficult,Belong quite a bit,Almost always,Slightly unfairly,Frequently,Almost never,Somewhat confident,Almost always,Quite comfortable,Once in a while,Frequently,Extremely well
stu-h1-8,y,None of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,About half of my teachers,Once in a while,Understand somewhat,Neither negative or positive,Frequently,Slightly connected,Slightly unpleasant,Slightly likely,No respect at all,Neither unfair or fair,Once in a while,Matter a tremendous amount,Hurts my learning some,Extremely difficult,Belong quite a bit,Frequently,Quite unfairly,Almost always,Almost always,Somewhat confident,Frequently,Extremely comfortable,Once in a while,Once in a while,Somewhat well
stu-h1-10,y,None of my teachers,None of my teachers,None of my teachers,A few of my teachers,About half of my teachers,Once in a while,Completely understand,Slightly positive,Once in a while,Extremely connected,Neither pleasant or unpleasant,Slightly likely,A tremendous amount of respect,Slightly fair,Sometimes,Matter somewhat,Neither helps nor hurts my learning,Slightly difficult,Belong somewhat,Sometimes,Somewhat unfairly,Frequently,Almost never,Quite confident,Once in a while,Somewhat comfortable,Almost always,Frequently,Slightly well
stu-h1-11,y,All of my teachers,Most of my teachers,About half of my teachers,Most of my teachers,All of my teachers,Once in a while,Completely understand,Neither negative or positive,Frequently,Slightly connected,Slightly unpleasant,Slightly likely,Some respect,Neither unfair or fair,Once in a while,Matter quite a bit,Neither helps nor hurts my learning,Somewhat difficult,Completely belong,Frequently,Quite unfairly,Frequently,Almost always,Quite confident,Sometimes,Somewhat comfortable,Sometimes,Almost never,Quite well
stu-h1-15,y,A few of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,A few of my teachers,Almost never,Understand somewhat,Slightly negative,Sometimes,Not at all connected,Very unpleasant,Somewhat likely,Some respect,Neither unfair or fair,Sometimes,Matter somewhat,Helps my learning a little bit,Somewhat difficult,Belong quite a bit,Once in a while,Slightly unfairly,Sometimes,Almost never,Somewhat confident,Sometimes,Somewhat comfortable,Sometimes,Sometimes,Somewhat well
stu-h1-16,y,None of my teachers,About half of my teachers,Most of my teachers,All of my teachers,About half of my teachers,Almost always,Understand somewhat,Slightly positive,Once in a while,Somewhat connected,Somewhat pleasant,Quite likely,A tremendous amount of respect,Somewhat fair,Sometimes,Matter quite a bit,Helps my learning a tremendous amount,Slightly difficult,Belong quite a bit,Sometimes,Somewhat unfairly,Frequently,Almost never,Extremely confident,Almost always,Quite comfortable,Sometimes,Frequently,Quite well
stu-h1-17,y,About half of my teachers,A few of my teachers,None of my teachers,A few of my teachers,A few of my teachers,Frequently,Do not understand at all,Slightly negative,Frequently,Not at all connected,Slightly unpleasant,Extremely likely,No respect at all,Somewhat unfair,Sometimes,Matter quite a bit,Hurts my learning some,Somewhat difficult,Belong somewhat,Once in a while,Somewhat unfairly,Sometimes,Almost never,Slightly confident,Once in a while,Somewhat comfortable,Sometimes,Frequently,Not at all well
stu-h1-21,y,None of my teachers,About half of my teachers,Most of my teachers,All of my teachers,All of my teachers,Once in a while,Understand quite a bit,Somewhat positive,Once in a while,Extremely connected,Slightly pleasant,Slightly likely,A tremendous amount of respect,Very fair,Almost never,Matter a tremendous amount,Helps my learning some,Somewhat difficult,Belong somewhat,Frequently,Somewhat unfairly,Almost always,Once in a while,Somewhat confident,Once in a while,Somewhat comfortable,Once in a while,Once in a while,Slightly well
stu-h1-22,y,All of my teachers,All of my teachers,Most of my teachers,Most of my teachers,About half of my teachers,Almost never,Completely understand,Somewhat positive,Once in a while,Extremely connected,Neither pleasant or unpleasant,Slightly likely,A tremendous amount of respect,Slightly unfair,Almost always,Matter a little bit,Neither helps nor hurts my learning,Not at all difficult,Do not belong at all,Sometimes,Somewhat unfairly,Frequently,Sometimes,Quite confident,Almost never,Somewhat comfortable,Sometimes,Sometimes,Slightly well
stu-h1-23,y,About half of my teachers,A few of my teachers,A few of my teachers,A few of my teachers,A few of my teachers,Sometimes,Understand a little,Slightly negative,Almost always,Somewhat connected,Neither pleasant or unpleasant,Quite likely,A little bit of respect,Slightly unfair,Almost always,Matter a little bit,Hurts my learning a little bit,Slightly difficult,Belong somewhat,Almost never,Slightly unfairly,Sometimes,Once in a while,Slightly confident,Once in a while,Somewhat comfortable,Once in a while,Frequently,Not at all well
stu-h1-24,y,Most of my teachers,Most of my teachers,Most of my teachers,All of my teachers,About half of my teachers,Frequently,Understand a little,Somewhat negative,Almost always,Slightly connected,Somewhat unpleasant,Quite likely,No respect at all,Slightly unfair,Frequently,Matter somewhat,Neither helps nor hurts my learning,Somewhat difficult,Belong quite a bit,Frequently,Slightly unfairly,Sometimes,Almost always,Somewhat confident,Sometimes,Somewhat comfortable,Sometimes,Frequently,Slightly well
stu-h1-25,y,Most of my teachers,All of my teachers,All of my teachers,All of my teachers,About half of my teachers,Almost always,Understand a little,Very negative,Almost always,Slightly connected,Neither pleasant or unpleasant,Somewhat likely,No respect at all,Neither unfair or fair,Sometimes,Matter quite a bit,Hurts my learning some,Somewhat difficult,Belong quite a bit,Sometimes,Slightly unfairly,Sometimes,Almost always,Not at all confident,Almost always,Slightly comfortable,Once in a while,Frequently,Extremely well
stu-h1-26,y,Most of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,A few of my teachers,Sometimes,Understand quite a bit,Neither negative or positive,Sometimes,Somewhat connected,Slightly unpleasant,Not at all likely,A little bit of respect,Slightly unfair,Almost always,Matter somewhat,Hurts my learning some,Slightly difficult,Belong somewhat,Sometimes,Not at all unfairly,Once in a while,Sometimes,Not at all confident,Frequently,Not at all comfortable,Almost never,Almost always,Quite well
stu-h1-28,y,A few of my teachers,None of my teachers,A few of my teachers,A few of my teachers,A few of my teachers,Sometimes,Understand a little,Neither negative or positive,Once in a while,Quite connected,Neither pleasant or unpleasant,Somewhat likely,Quite a bit of respect,Slightly fair,Once in a while,Matter a tremendous amount,Helps my learning some,Not at all difficult,Completely belong,Once in a while,Not at all unfairly,Once in a while,Almost never,Somewhat confident,Sometimes,Slightly comfortable,Frequently,Sometimes,Somewhat well
stu-h1-30,y,Most of my teachers,Most of my teachers,All of my teachers,About half of my teachers,Most of my teachers,Sometimes,Understand a little,Neither negative or positive,Sometimes,Somewhat connected,Slightly pleasant,Quite likely,Quite a bit of respect,Slightly fair,Sometimes,Matter quite a bit,Helps my learning a tremendous amount,Slightly difficult,Belong quite a bit,Almost always,Slightly unfairly,Almost always,Frequently,Extremely confident,Frequently,Quite comfortable,Frequently,Sometimes,Somewhat well
stu-h1-32,y,All of my teachers,Most of my teachers,About half of my teachers,A few of my teachers,None of my teachers,Almost always,Understand somewhat,Neither negative or positive,Once in a while,Slightly connected,Slightly unpleasant,Somewhat likely,Some respect,Slightly unfair,Sometimes,Matter quite a bit,Hurts my learning a little bit,Quite difficult,Belong quite a bit,Almost never,Extremely unfairly,Sometimes,Sometimes,Not at all confident,Frequently,Somewhat comfortable,Almost never,Sometimes,Quite well
stu-h1-35,y,About half of my teachers,About half of my teachers,Most of my teachers,All of my teachers,About half of my teachers,Sometimes,Understand quite a bit,Neither negative or positive,Sometimes,Slightly connected,Slightly unpleasant,Slightly likely,Some respect,Slightly unfair,Almost always,Matter a little bit,Neither helps nor hurts my learning,Extremely difficult,Belong a little bit,Frequently,Quite unfairly,Almost always,Almost never,Quite confident,Almost never,Extremely comfortable,Frequently,Almost never,Slightly well
stu-h1-40,y,Most of my teachers,All of my teachers,Most of my teachers,Most of my teachers,All of my teachers,Frequently,Understand a little,Slightly negative,Almost always,Slightly connected,Slightly unpleasant,Extremely likely,A little bit of respect,Somewhat unfair,Frequently,Do not matter at all,Neither helps nor hurts my learning,Somewhat difficult,Belong a little bit,Almost always,Somewhat unfairly,Frequently,Once in a while,Slightly confident,Almost never,Extremely comfortable,Sometimes,Frequently,Slightly well
stu-h1-41,y,About half of my teachers,About half of my teachers,About half of my teachers,About half of my teachers,Most of my teachers,Sometimes,Understand a little,Somewhat negative,Frequently,Not at all connected,Neither pleasant or unpleasant,Extremely likely,Some respect,Slightly unfair,Frequently,Do not matter at all,Hurts my learning a little bit,Quite difficult,Belong somewhat,Sometimes,Extremely unfairly,Sometimes,Almost never,Not at all confident,Sometimes,Quite comfortable,Sometimes,Sometimes,Slightly well
stu-h1-43,y,A few of my teachers,A few of my teachers,None of my teachers,None of my teachers,A few of my teachers,Frequently,Do not understand at all,Somewhat negative,Frequently,Somewhat connected,Neither pleasant or unpleasant,Extremely likely,Some respect,Neither unfair or fair,Once in a while,Matter a tremendous amount,Neither helps nor hurts my learning,Quite difficult,Belong somewhat,Sometimes,Extremely unfairly,Frequently,Almost never,Somewhat confident,Once in a while,Somewhat comfortable,Sometimes,Sometimes,Slightly well
stu-h1-45,y,All of my teachers,Most of my teachers,Most of my teachers,Most of my teachers,All of my teachers,Once in a while,Understand somewhat,Slightly positive,Once in a while,Quite connected,Neither pleasant or unpleasant,Somewhat likely,Quite a bit of respect,Neither unfair or fair,Once in a while,Matter somewhat,Neither helps nor hurts my learning,Not at all difficult,Belong quite a bit,Frequently,Slightly unfairly,Frequently,Once in a while,Quite confident,Frequently,Extremely comfortable,Sometimes,Frequently,Somewhat well
stu-h1-47,y,All of my teachers,All of my teachers,About half of my teachers,Most of my teachers,About half of my teachers,Almost never,Completely understand,Somewhat positive,Once in a while,Quite connected,Very pleasant,Not at all likely,Some respect,Neither unfair or fair,Frequently,Matter somewhat,Helps my learning a little bit,Somewhat difficult,Belong a little bit,Frequently,Somewhat unfairly,Sometimes,Sometimes,Quite confident,Sometimes,Quite comfortable,Sometimes,Frequently,Somewhat well
stu-h1-49,y,Most of my teachers,Most of my teachers,All of my teachers,All of my teachers,About half of my teachers,Almost never,Understand somewhat,Slightly negative,Sometimes,Not at all connected,Neither pleasant or unpleasant,Somewhat likely,Some respect,Neither unfair or fair,Once in a while,Matter a tremendous amount,Neither helps nor hurts my learning,Somewhat difficult,Belong somewhat,Sometimes,Quite unfairly,Once in a while,Once in a while,Somewhat confident,Sometimes,Somewhat comfortable,Once in a while,Sometimes,Quite well
stu-h1-52,y,A few of my teachers,About half of my teachers,About half of my teachers,About half of my teachers,Most of my teachers,Almost always,Understand somewhat,Neither negative or positive,Sometimes,Quite connected,Slightly unpleasant,Somewhat likely,A little bit of respect,Slightly unfair,Frequently,Matter somewhat,Neither helps nor hurts my learning,Somewhat difficult,Belong a little bit,Almost always,Quite unfairly,Sometimes,Frequently,Quite confident,Almost never,Somewhat comfortable,Sometimes,Almost never,Somewhat well
stu-h1-53,y,Most of my teachers,Most of my teachers,About half of my teachers,Most of my teachers,Most of my teachers,Almost never,Understand somewhat,Slightly positive,Sometimes,Quite connected,Very pleasant,Slightly likely,Quite a bit of respect,Very fair,Almost never,Matter somewhat,Helps my learning some,Not at all difficult,Belong somewhat,Frequently,Slightly unfairly,Frequently,Sometimes,Somewhat confident,Frequently,Somewhat comfortable,Frequently,Frequently,Somewhat well
stu-h1-54,y,None of my teachers,About half of my teachers,Most of my teachers,Most of my teachers,Most of my teachers,Once in a while,Understand quite a bit,Very positive,Once in a while,Somewhat connected,Very pleasant,Slightly likely,Quite a bit of respect,Slightly fair,Sometimes,Matter a little bit,Neither helps nor hurts my learning,Slightly difficult,Do not belong at all,Frequently,Somewhat unfairly,Frequently,Frequently,Slightly confident,Sometimes,Quite comfortable,Once in a while,Once in a while,Slightly well
