"id","answered","enthusiastic_students","staff_trusted","positive_colleagues","supportive_students","respectful_staff_students","optimistic_improvement","students_help_students","colleagues_support_initiatives","positive_environment","positive_leaders","leaders_important_staff_satisfied","leaders_positive_influence","leaders_communicate_effective","leaders_knowledge","leaders_responsive","leaders_effective_rules","leaders_clear_goals","staff_input","friendly_families","meet_families","caring_families","supportive_families","trust_parents","respectful_parents","challenging_families"
m6-1,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-2,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-3,y,Somewhat enthusiastic,Trusted a tremendous amount,Somewhat positive,Quite supportive,Somewhat respectful,Quite optimistic,Sometimes,Somewhat supportive,Somewhat positive,Quite positive,Quite important,Quite positive,Extremely effectively,Quite knowledgeable,Extremely responsive,Extremely effective,Somewhat clearly,Quite a bit of input,Quite friendly,Sometimes,Somewhat caring,Somewhat supportive,Trust some,Somewhat respectful,Somewhat challenging
m6-4,y,Extremely enthusiastic,Trusted somewhat,Slightly positive,Quite supportive,Slightly respectful,Somewhat optimistic,Sometimes,Quite supportive,Extremely positive,Somewhat positive,Somewhat important,Quite positive,Extremely effectively,Somewhat knowledgeable,Somewhat responsive,Slightly effective,Somewhat clearly,A little bit of input,Quite friendly,Sometimes,Quite caring,Somewhat supportive,Trust a little bit,Not at all respectful,Somewhat challenging
m6-5,y,Quite enthusiastic,Trusted quite a bit,Quite positive,Extremely supportive,Somewhat respectful,Extremely optimistic,Frequently,Quite supportive,Quite positive,Somewhat positive,Somewhat important,Slightly positive,Slightly effectively,Somewhat knowledgeable,Quite responsive,Somewhat effective,Slightly clearly,Almost no input,Quite friendly,Once in a while,Extremely caring,Extremely supportive,Trust a tremendous amount,Extremely respectful,Slightly challenging
m6-6,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-7,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-8,y,Slightly enthusiastic,Trusted quite a bit,Quite positive,Somewhat supportive,Extremely respectful,Extremely optimistic,Sometimes,Extremely supportive,Extremely positive,Quite positive,Somewhat important,Quite positive,Quite effectively,Quite knowledgeable,Somewhat responsive,Slightly effective,Slightly clearly,A little bit of input,Somewhat friendly,Almost all the time,Slightly caring,Slightly supportive,Do not trust at all,Somewhat respectful,Quite challenging
m6-9,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-10,y,Extremely enthusiastic,Trusted a tremendous amount,Not at all positive,Quite supportive,Not at all respectful,Somewhat optimistic,Almost all the time,Somewhat supportive,Quite positive,Quite positive,Quite important,Quite positive,Somewhat effectively,Quite knowledgeable,Somewhat responsive,Quite effective,Quite clearly,Some input,Somewhat friendly,Once in a while,Slightly caring,Somewhat supportive,Trust quite a bit,Extremely respectful,Slightly challenging
m6-11,y,Slightly enthusiastic,Trusted quite a bit,Somewhat positive,Not at all supportive,Somewhat respectful,Somewhat optimistic,Once in a while,Somewhat supportive,Somewhat positive,Extremely positive,Somewhat important,Somewhat positive,Slightly effectively,Not knowledgeable at all,Somewhat responsive,Somewhat effective,Quite clearly,Some input,Not at all friendly,Sometimes,Not at all caring,Somewhat supportive,Trust quite a bit,Somewhat respectful,Somewhat challenging
m6-12,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-13,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-14,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-15,y,Not at all enthusiastic,Not at all trusted,Extremely positive,Somewhat supportive,Extremely respectful,Somewhat optimistic,Frequently,Quite supportive,Extremely positive,Somewhat positive,Slightly important,Somewhat positive,Slightly effectively,Slightly knowledgeable,Somewhat responsive,Slightly effective,Slightly clearly,Almost no input,Extremely friendly,Almost never,Quite caring,Somewhat supportive,Trust some,Quite respectful,Slightly challenging
m6-16,y,Not at all enthusiastic,Trusted somewhat,Quite positive,Not at all supportive,Somewhat respectful,Quite optimistic,Almost never,Quite supportive,Quite positive,Quite positive,Extremely important,Extremely positive,Somewhat effectively,Quite knowledgeable,Quite responsive,Extremely effective,Extremely clearly,Quite a bit of input,Not at all friendly,Almost all the time,Not at all caring,Slightly supportive,Do not trust at all,Slightly respectful,Somewhat challenging
m6-17,y,Not at all enthusiastic,Trusted somewhat,Somewhat positive,Slightly supportive,Slightly respectful,Somewhat optimistic,Sometimes,Quite supportive,Somewhat positive,Slightly positive,Somewhat important,Quite positive,Somewhat effectively,Somewhat knowledgeable,Quite responsive,Quite effective,Somewhat clearly,Some input,Slightly friendly,Almost all the time,Slightly caring,Not at all supportive,Do not trust at all,Somewhat respectful,Slightly challenging
m6-18,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-19,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-20,y,Somewhat enthusiastic,Trusted a little bit,Extremely positive,Quite supportive,Extremely respectful,Extremely optimistic,Sometimes,Somewhat supportive,Quite positive,Slightly positive,Not important at all,Not at all positive,Somewhat effectively,Quite knowledgeable,Quite responsive,Extremely effective,Quite clearly,Quite a bit of input,Somewhat friendly,Almost all the time,Somewhat caring,Quite supportive,Trust a tremendous amount,Quite respectful,Somewhat challenging
m6-21,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-22,y,Quite enthusiastic,Trusted a little bit,Quite positive,Somewhat supportive,Quite respectful,Extremely optimistic,Frequently,Quite supportive,Quite positive,Slightly positive,Not important at all,Slightly positive,Somewhat effectively,Slightly knowledgeable,Somewhat responsive,Somewhat effective,Slightly clearly,A little bit of input,Extremely friendly,Sometimes,Somewhat caring,Quite supportive,Trust some,Slightly respectful,Extremely challenging
m6-23,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-24,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-25,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-26,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-27,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-28,y,Slightly enthusiastic,Trusted somewhat,Somewhat positive,Slightly supportive,Somewhat respectful,Quite optimistic,Almost never,Quite supportive,Somewhat positive,Somewhat positive,Quite important,Extremely positive,Quite effectively,Somewhat knowledgeable,Somewhat responsive,Somewhat effective,Quite clearly,A tremendous amount of input,Slightly friendly,Once in a while,Somewhat caring,Slightly supportive,Do not trust at all,Slightly respectful,Extremely challenging
m6-29,n,,,,,,,,,,,,,,,,,,,,,,,,,
m6-30,y,Somewhat enthusiastic,Trusted a little bit,Extremely positive,Slightly supportive,Quite respectful,Extremely optimistic,Once in a while,Somewhat supportive,Somewhat positive,Not at all positive,Not important at all,Somewhat positive,Somewhat effectively,Somewhat knowledgeable,Somewhat responsive,Slightly effective,Somewhat clearly,Some input,Not at all friendly,Once in a while,Slightly caring,Somewhat supportive,Trust quite a bit,Quite respectful,Somewhat challenging
m6-31,n,,,,,,,,,,,,,,,,,,,,,,,,,
