"id","answered","enthusiastic_students","staff_trusted","positive_colleagues","supportive_students","respectful_staff_students","optimistic_improvement","students_help_students","colleagues_support_initiatives","positive_environment","positive_leaders","leaders_important_staff_satisfied","leaders_positive_influence","leaders_communicate_effective","leaders_knowledge","leaders_responsive","leaders_effective_rules","leaders_clear_goals","staff_input","friendly_families","meet_families","caring_families","supportive_families","trust_parents","respectful_parents","challenging_families"
m1-1,n,,,,,,,,,,,,,,,,,,,,,,,,,
m1-2,y,Not at all enthusiastic,Trusted a tremendous amount,Extremely positive,Not at all supportive,Somewhat respectful,Quite optimistic,Sometimes,Quite supportive,Somewhat positive,Quite positive,Extremely important,Somewhat positive,Quite effectively,Quite knowledgeable,Somewhat responsive,Slightly effective,Slightly clearly,Almost no input,Somewhat friendly,Almost all the time,Slightly caring,Slightly supportive,Trust some,Somewhat respectful,Somewhat challenging
m1-3,y,Not at all enthusiastic,Trusted quite a bit,Slightly positive,Somewhat supportive,Not at all respectful,Not at all optimistic,Once in a while,Somewhat supportive,Somewhat positive,Somewhat positive,Quite important,Somewhat positive,Quite effectively,Extremely knowledgeable,Somewhat responsive,Somewhat effective,Somewhat clearly,A little bit of input,Somewhat friendly,Almost all the time,Slightly caring,Slightly supportive,Trust some,Somewhat respectful,Quite challenging
m1-4,n,,,,,,,,,,,,,,,,,,,,,,,,,
m1-5,y,Not at all enthusiastic,Trusted quite a bit,Extremely positive,Slightly supportive,Somewhat respectful,Quite optimistic,Almost never,Quite supportive,Extremely positive,Somewhat positive,Somewhat important,Slightly positive,Somewhat effectively,Somewhat knowledgeable,Somewhat responsive,Somewhat effective,Somewhat clearly,Some input,Slightly friendly,Almost never,Slightly caring,Slightly supportive,Do not trust at all,Not at all respectful,Quite challenging
m1-6,y,Extremely enthusiastic,Trusted quite a bit,Quite positive,Somewhat supportive,Extremely respectful,Quite optimistic,Sometimes,Extremely supportive,Somewhat positive,Extremely positive,Somewhat important,Somewhat positive,Quite effectively,Somewhat knowledgeable,Quite responsive,Somewhat effective,Somewhat clearly,A little bit of input,Somewhat friendly,Once in a while,Slightly caring,Not at all supportive,Trust a little bit,Not at all respectful,Quite challenging
m1-7,y,Quite enthusiastic,Not at all trusted,Extremely positive,Quite supportive,Extremely respectful,Extremely optimistic,Frequently,Extremely supportive,Quite positive,Slightly positive,Not important at all,Slightly positive,Not at all effectively,Not knowledgeable at all,Slightly responsive,Slightly effective,Slightly clearly,A little bit of input,Extremely friendly,Sometimes,Quite caring,Quite supportive,Trust quite a bit,Somewhat respectful,Slightly challenging
m1-8,y,Not at all enthusiastic,Trusted quite a bit,Extremely positive,Slightly supportive,Somewhat respectful,Somewhat optimistic,Sometimes,Quite supportive,Somewhat positive,Somewhat positive,Quite important,Somewhat positive,Somewhat effectively,Quite knowledgeable,Quite responsive,Somewhat effective,Slightly clearly,Almost no input,Slightly friendly,Almost all the time,Not at all caring,Somewhat supportive,Trust quite a bit,Quite respectful,Somewhat challenging
m1-9,n,,,,,,,,,,,,,,,,,,,,,,,,,
m1-10,y,Somewhat enthusiastic,Trusted a little bit,Somewhat positive,Quite supportive,Slightly respectful,Quite optimistic,Almost all the time,Quite supportive,Quite positive,Not at all positive,Somewhat important,Somewhat positive,Quite effectively,Somewhat knowledgeable,Somewhat responsive,Slightly effective,Slightly clearly,Some input,Extremely friendly,Frequently,Quite caring,Extremely supportive,Trust quite a bit,Extremely respectful,Somewhat challenging
m1-11,y,Slightly enthusiastic,Trusted somewhat,Extremely positive,Somewhat supportive,Extremely respectful,Quite optimistic,Frequently,Quite supportive,Quite positive,Somewhat positive,Slightly important,Not at all positive,Slightly effectively,Somewhat knowledgeable,Slightly responsive,Not at all effective,Slightly clearly,Almost no input,Extremely friendly,Once in a while,Extremely caring,Extremely supportive,Trust a tremendous amount,Extremely respectful,Not at all challenging
