id,answered,respect_teacher,concerned_teacher,visit_teachers,how_teacher,again_teacher,disrespectful_people,understand_people,energy_school,fights_students,connected_adults,space_school,online_bully,respect_students,fair_rules,school_violence,matter_others,behavior_students,adult_help,belong_school,excited_teachers,unfair_adults,teachers_race,think_race,honest_race,encourage_race,share_race,often_race,adults_race,school_race
stu-m12-1,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-2,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-3,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-4,y,None of my teachers,A few of my teachers,A few of my teachers,A few of my teachers,A few of my teachers,Once in a while,Understand quite a bit,Somewhat positive,Almost never,Extremely connected,Slightly pleasant,Somewhat likely,Some respect,Neither unfair or fair,Sometimes,Matter quite a bit,Hurts my learning a little bit,Somewhat difficult,Belong quite a bit,Sometimes,Quite unfairly,Sometimes,Frequently,Not at all confident,Frequently,Quite comfortable,Sometimes,Sometimes,Somewhat well
stu-m12-5,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-6,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-7,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-8,y,Most of my teachers,Most of my teachers,Most of my teachers,All of my teachers,About half of my teachers,Sometimes,Understand somewhat,Neither negative or positive,Frequently,Quite connected,Slightly unpleasant,Somewhat likely,Some respect,Somewhat unfair,Sometimes,Matter a little bit,Hurts my learning a little bit,Slightly difficult,Belong a little bit,Once in a while,Not at all unfairly,Sometimes,Almost never,Slightly confident,Once in a while,Somewhat comfortable,Once in a while,Frequently,Somewhat well
stu-m12-9,y,Most of my teachers,All of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,Frequently,Do not understand at all,Somewhat negative,Almost always,Somewhat connected,Somewhat unpleasant,Quite likely,A little bit of respect,Slightly unfair,Sometimes,Matter a little bit,Hurts my learning some,Quite difficult,Belong somewhat,Once in a while,Quite unfairly,Sometimes,Once in a while,Slightly confident,Frequently,Slightly comfortable,Once in a while,Once in a while,Somewhat well
stu-m12-10,y,About half of my teachers,Most of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,Almost always,Understand somewhat,Slightly negative,Sometimes,Somewhat connected,Somewhat unpleasant,Quite likely,Quite a bit of respect,Somewhat unfair,Frequently,Matter a little bit,Helps my learning some,Slightly difficult,Belong a little bit,Once in a while,Slightly unfairly,Once in a while,Frequently,Extremely confident,Sometimes,Slightly comfortable,Almost always,Sometimes,Quite well
stu-m12-11,y,A few of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,About half of my teachers,Almost always,Do not understand at all,Very negative,Almost always,Somewhat connected,Somewhat unpleasant,Somewhat likely,A little bit of respect,Somewhat unfair,Almost always,Matter somewhat,Neither helps nor hurts my learning,Slightly difficult,Belong somewhat,Once in a while,Somewhat unfairly,Once in a while,Almost always,Quite confident,Once in a while,Slightly comfortable,Frequently,Once in a while,Somewhat well
stu-m12-12,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-13,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-14,y,About half of my teachers,About half of my teachers,Most of my teachers,All of my teachers,Most of my teachers,Almost always,Do not understand at all,Slightly negative,Frequently,Slightly connected,Neither pleasant or unpleasant,Quite likely,No respect at all,Neither unfair or fair,Sometimes,Matter quite a bit,Neither helps nor hurts my learning,Quite difficult,Completely belong,Sometimes,Extremely unfairly,Once in a while,Sometimes,Slightly confident,Almost always,Somewhat comfortable,Almost never,Sometimes,Quite well
stu-m12-15,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-16,y,None of my teachers,None of my teachers,About half of my teachers,Most of my teachers,Most of my teachers,Sometimes,Understand a little,Slightly negative,Frequently,Somewhat connected,Somewhat unpleasant,Quite likely,Some respect,Very unfair,Frequently,Matter a little bit,Hurts my learning a little bit,Quite difficult,Belong somewhat,Sometimes,Extremely unfairly,Sometimes,Almost always,Slightly confident,Sometimes,Quite comfortable,Sometimes,Almost never,Slightly well
stu-m12-17,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-18,y,All of my teachers,About half of my teachers,About half of my teachers,About half of my teachers,A few of my teachers,Sometimes,Understand a little,Somewhat negative,Almost always,Slightly connected,Slightly unpleasant,Extremely likely,Some respect,Neither unfair or fair,Frequently,Matter somewhat,Helps my learning a little bit,Extremely difficult,Belong quite a bit,Sometimes,Extremely unfairly,Frequently,Almost never,Extremely confident,Almost always,Somewhat comfortable,Sometimes,Almost never,Quite well
stu-m12-19,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-20,y,About half of my teachers,A few of my teachers,A few of my teachers,A few of my teachers,None of my teachers,Almost always,Do not understand at all,Neither negative or positive,Frequently,Slightly connected,Neither pleasant or unpleasant,Quite likely,No respect at all,Slightly fair,Sometimes,Matter somewhat,Hurts my learning a tremendous amount,Extremely difficult,Belong somewhat,Once in a while,Quite unfairly,Almost never,Almost always,Not at all confident,Sometimes,Not at all comfortable,Sometimes,Once in a while,Somewhat well
stu-m12-21,y,Most of my teachers,All of my teachers,About half of my teachers,About half of my teachers,About half of my teachers,Almost never,Understand quite a bit,Very positive,Almost never,Extremely connected,Slightly pleasant,Slightly likely,Some respect,Somewhat fair,Sometimes,Matter a little bit,Hurts my learning a little bit,Somewhat difficult,Belong somewhat,Sometimes,Quite unfairly,Once in a while,Once in a while,Slightly confident,Once in a while,Not at all comfortable,Almost never,Once in a while,Slightly well
stu-m12-22,y,A few of my teachers,A few of my teachers,A few of my teachers,None of my teachers,A few of my teachers,Sometimes,Understand somewhat,Slightly negative,Almost always,Somewhat connected,Slightly unpleasant,Slightly likely,A little bit of respect,Slightly unfair,Almost always,Matter a little bit,Hurts my learning a tremendous amount,Somewhat difficult,Belong somewhat,Sometimes,Somewhat unfairly,Once in a while,Almost always,Not at all confident,Frequently,Slightly comfortable,Sometimes,Sometimes,Quite well
stu-m12-23,y,Most of my teachers,All of my teachers,About half of my teachers,A few of my teachers,A few of my teachers,Once in a while,Understand somewhat,Slightly positive,Sometimes,Quite connected,Neither pleasant or unpleasant,Slightly likely,A little bit of respect,Slightly fair,Sometimes,Matter a little bit,Neither helps nor hurts my learning,Not at all difficult,Belong somewhat,Once in a while,Not at all unfairly,Once in a while,Almost always,Quite confident,Frequently,Not at all comfortable,Almost always,Frequently,Quite well
stu-m12-24,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-25,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-26,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-27,y,All of my teachers,Most of my teachers,Most of my teachers,All of my teachers,All of my teachers,Almost always,Understand somewhat,Slightly negative,Almost always,Not at all connected,Slightly unpleasant,Quite likely,Some respect,Somewhat unfair,Frequently,Matter somewhat,Hurts my learning a little bit,Quite difficult,Belong a little bit,Almost always,Quite unfairly,Almost always,Once in a while,Slightly confident,Sometimes,Somewhat comfortable,Once in a while,Almost never,Slightly well
stu-m12-28,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-29,y,About half of my teachers,About half of my teachers,A few of my teachers,A few of my teachers,A few of my teachers,Almost never,Understand quite a bit,Slightly positive,Sometimes,Extremely connected,Very pleasant,Somewhat likely,Some respect,Very fair,Once in a while,Matter quite a bit,Hurts my learning a little bit,Not at all difficult,Belong somewhat,Once in a while,Somewhat unfairly,Once in a while,Frequently,Slightly confident,Once in a while,Not at all comfortable,Sometimes,Sometimes,Slightly well
stu-m12-30,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-31,y,All of my teachers,About half of my teachers,About half of my teachers,Most of my teachers,Most of my teachers,Almost always,Do not understand at all,Neither negative or positive,Frequently,Somewhat connected,Slightly pleasant,Extremely likely,Some respect,Somewhat fair,Sometimes,Matter quite a bit,Helps my learning a little bit,Quite difficult,Completely belong,Sometimes,Quite unfairly,Frequently,Frequently,Quite confident,Sometimes,Somewhat comfortable,Almost always,Once in a while,Slightly well
stu-m12-32,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-33,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-34,y,Most of my teachers,Most of my teachers,About half of my teachers,About half of my teachers,Most of my teachers,Frequently,Understand somewhat,Slightly negative,Almost always,Not at all connected,Neither pleasant or unpleasant,Somewhat likely,Some respect,Slightly unfair,Frequently,Matter a little bit,Hurts my learning a little bit,Extremely difficult,Belong somewhat,Frequently,Extremely unfairly,Sometimes,Sometimes,Somewhat confident,Frequently,Quite comfortable,Frequently,Sometimes,Quite well
stu-m12-35,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-36,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m12-37,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
