"id","answered","respect_teacher","concerned_teacher","visit_teachers","how_teacher","again_teacher","disrespectful_people","understand_people","energy_school","fights_students","connected_adults","space_school","online_bully","respect_students","fair_rules","school_violence","matter_others","behavior_students","adult_help","belong_school","excited_teachers","unfair_adults","teachers_race","think_race","honest_race","encourage_race","share_race","often_race","adults_race","school_race"
stu-m1-2,y,About half of my teachers,About half of my teachers,A few of my teachers,None of my teachers,About half of my teachers,Sometimes,Understand a little,Slightly negative,Sometimes,Not at all connected,Slightly unpleasant,Quite likely,A little bit of respect,Neither unfair or fair,Once in a while,Matter a tremendous amount,Hurts my learning some,Quite difficult,Belong somewhat,Once in a while,Extremely unfairly,Almost never,Frequently,Not at all confident,Frequently,Somewhat comfortable,Once in a while,Almost never,Quite well
stu-m1-3,y,All of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,A few of my teachers,Frequently,Understand a little,Somewhat negative,Sometimes,Slightly connected,Very unpleasant,Extremely likely,Some respect,Very unfair,Sometimes,Matter quite a bit,Hurts my learning a little bit,Extremely difficult,Completely belong,Sometimes,Somewhat unfairly,Once in a while,Frequently,Slightly confident,Almost always,Somewhat comfortable,Almost never,Sometimes,Extremely well
stu-m1-5,y,A few of my teachers,None of my teachers,A few of my teachers,None of my teachers,About half of my teachers,Almost never,Understand somewhat,Neither negative or positive,Frequently,Slightly connected,Slightly unpleasant,Slightly likely,Some respect,Somewhat unfair,Frequently,Matter somewhat,Helps my learning a little bit,Quite difficult,Belong a little bit,Sometimes,Extremely unfairly,Sometimes,Once in a while,Extremely confident,Once in a while,Quite comfortable,Frequently,Sometimes,Slightly well
stu-m1-7,y,A few of my teachers,About half of my teachers,Most of my teachers,All of my teachers,About half of my teachers,Almost always,Do not understand at all,Neither negative or positive,Frequently,Quite connected,Slightly unpleasant,Quite likely,Some respect,Neither unfair or fair,Frequently,Do not matter at all,Neither helps nor hurts my learning,Not at all difficult,Belong somewhat,Sometimes,Somewhat unfairly,Once in a while,Sometimes,Slightly confident,Frequently,Not at all comfortable,Once in a while,Frequently,Somewhat well
stu-m1-8,y,None of my teachers,About half of my teachers,A few of my teachers,A few of my teachers,A few of my teachers,Almost always,Understand a little,Somewhat negative,Sometimes,Not at all connected,Slightly unpleasant,Extremely likely,Some respect,Very unfair,Sometimes,Matter somewhat,Hurts my learning a little bit,Quite difficult,Belong somewhat,Almost never,Quite unfairly,Almost never,Once in a while,Slightly confident,Frequently,Slightly comfortable,Almost never,Almost never,Quite well
stu-m1-9,y,None of my teachers,A few of my teachers,A few of my teachers,None of my teachers,About half of my teachers,Almost never,Completely understand,Very positive,Sometimes,Somewhat connected,Neither pleasant or unpleasant,Not at all likely,Some respect,Slightly unfair,Almost always,Do not matter at all,Neither helps nor hurts my learning,Slightly difficult,Do not belong at all,Once in a while,Somewhat unfairly,Sometimes,Frequently,Slightly confident,Once in a while,Quite comfortable,Sometimes,Once in a while,Slightly well
stu-m1-10,y,Most of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,A few of my teachers,Frequently,Understand somewhat,Slightly positive,Sometimes,Quite connected,Very pleasant,Quite likely,Some respect,Neither unfair or fair,Frequently,Do not matter at all,Hurts my learning a little bit,Somewhat difficult,Do not belong at all,Sometimes,Slightly unfairly,Once in a while,Sometimes,Somewhat confident,Once in a while,Not at all comfortable,Frequently,Sometimes,Somewhat well
stu-m1-13,y,None of my teachers,A few of my teachers,None of my teachers,A few of my teachers,None of my teachers,Sometimes,Understand somewhat,Neither negative or positive,Sometimes,Somewhat connected,Neither pleasant or unpleasant,Somewhat likely,Quite a bit of respect,Slightly fair,Almost never,Matter a tremendous amount,Helps my learning a little bit,Somewhat difficult,Belong quite a bit,Once in a while,Quite unfairly,Once in a while,Sometimes,Quite confident,Sometimes,Somewhat comfortable,Frequently,Almost never,Somewhat well
stu-m1-16,y,About half of my teachers,A few of my teachers,A few of my teachers,A few of my teachers,A few of my teachers,Frequently,Understand somewhat,Neither negative or positive,Sometimes,Quite connected,Slightly pleasant,Somewhat likely,Some respect,Very fair,Sometimes,Matter somewhat,Hurts my learning a little bit,Not at all difficult,Belong somewhat,Sometimes,Somewhat unfairly,Frequently,Almost never,Not at all confident,Sometimes,Somewhat comfortable,Once in a while,Once in a while,Quite well
stu-m1-22,y,A few of my teachers,None of my teachers,None of my teachers,A few of my teachers,About half of my teachers,Almost always,Understand a little,Very negative,Almost always,Slightly connected,Neither pleasant or unpleasant,Somewhat likely,A little bit of respect,Neither unfair or fair,Sometimes,Matter a little bit,Hurts my learning some,Extremely difficult,Do not belong at all,Once in a while,Quite unfairly,Once in a while,Sometimes,Slightly confident,Sometimes,Somewhat comfortable,Almost never,Sometimes,Somewhat well
stu-m1-23,y,Most of my teachers,All of my teachers,Most of my teachers,About half of my teachers,About half of my teachers,Almost never,Understand quite a bit,Very positive,Almost never,Extremely connected,Neither pleasant or unpleasant,Not at all likely,Quite a bit of respect,Slightly fair,Almost never,Matter somewhat,Helps my learning some,Not at all difficult,Belong somewhat,Frequently,Somewhat unfairly,Sometimes,Frequently,Somewhat confident,Frequently,Slightly comfortable,Frequently,Frequently,Quite well
stu-m1-26,y,All of my teachers,Most of my teachers,Most of my teachers,About half of my teachers,About half of my teachers,Almost never,Completely understand,Neither negative or positive,Sometimes,Somewhat connected,Neither pleasant or unpleasant,Not at all likely,Quite a bit of respect,Slightly unfair,Sometimes,Matter quite a bit,Helps my learning a tremendous amount,Quite difficult,Belong somewhat,Frequently,Quite unfairly,Almost always,Frequently,Somewhat confident,Sometimes,Extremely comfortable,Sometimes,Almost never,Quite well
stu-m1-27,y,All of my teachers,All of my teachers,About half of my teachers,About half of my teachers,About half of my teachers,Almost always,Understand somewhat,Slightly negative,Sometimes,Slightly connected,Very unpleasant,Somewhat likely,Quite a bit of respect,Somewhat unfair,Frequently,Do not matter at all,Neither helps nor hurts my learning,Quite difficult,Belong somewhat,Sometimes,Quite unfairly,Once in a while,Almost never,Slightly confident,Sometimes,Somewhat comfortable,Almost never,Once in a while,Slightly well
stu-m1-28,y,A few of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,Most of my teachers,Sometimes,Understand a little,Neither negative or positive,Frequently,Slightly connected,Neither pleasant or unpleasant,Somewhat likely,Some respect,Neither unfair or fair,Once in a while,Matter somewhat,Hurts my learning a little bit,Extremely difficult,Belong somewhat,Almost always,Somewhat unfairly,Sometimes,Frequently,Somewhat confident,Sometimes,Quite comfortable,Frequently,Sometimes,Somewhat well
stu-m1-30,y,About half of my teachers,A few of my teachers,None of my teachers,About half of my teachers,Most of my teachers,Once in a while,Completely understand,Very positive,Almost never,Extremely connected,Neither pleasant or unpleasant,Not at all likely,A tremendous amount of respect,Slightly unfair,Frequently,Matter somewhat,Helps my learning a little bit,Somewhat difficult,Belong quite a bit,Sometimes,Slightly unfairly,Once in a while,Frequently,Extremely confident,Almost always,Slightly comfortable,Almost always,Almost always,Extremely well
stu-m1-31,y,All of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,A few of my teachers,Almost never,Understand somewhat,Slightly positive,Almost never,Quite connected,Slightly pleasant,Slightly likely,Quite a bit of respect,Very fair,Once in a while,Matter quite a bit,Helps my learning a little bit,Not at all difficult,Belong somewhat,Sometimes,Not at all unfairly,Once in a while,Once in a while,Extremely confident,Sometimes,Not at all comfortable,Frequently,Sometimes,Quite well
stu-m1-32,y,None of my teachers,About half of my teachers,About half of my teachers,About half of my teachers,About half of my teachers,Almost always,Do not understand at all,Neither negative or positive,Sometimes,Slightly connected,Slightly pleasant,Extremely likely,A little bit of respect,Very fair,Almost never,Matter a tremendous amount,Hurts my learning a little bit,Extremely difficult,Belong somewhat,Frequently,Somewhat unfairly,Sometimes,Sometimes,Somewhat confident,Sometimes,Quite comfortable,Frequently,Frequently,Somewhat well
stu-m1-33,y,All of my teachers,All of my teachers,Most of my teachers,Most of my teachers,All of my teachers,Once in a while,Completely understand,Very positive,Sometimes,Quite connected,Somewhat pleasant,Somewhat likely,Some respect,Neither unfair or fair,Frequently,Do not matter at all,Neither helps nor hurts my learning,Not at all difficult,Belong somewhat,Frequently,Not at all unfairly,Almost always,Almost never,Slightly confident,Sometimes,Quite comfortable,Once in a while,Almost always,Quite well
stu-m1-34,y,About half of my teachers,Most of my teachers,Most of my teachers,About half of my teachers,About half of my teachers,Sometimes,Understand somewhat,Slightly negative,Frequently,Slightly connected,Very unpleasant,Somewhat likely,A little bit of respect,Slightly unfair,Frequently,Matter a little bit,Hurts my learning a little bit,Quite difficult,Belong somewhat,Sometimes,Extremely unfairly,Sometimes,Frequently,Slightly confident,Frequently,Quite comfortable,Almost never,Once in a while,Extremely well
stu-m1-36,y,About half of my teachers,Most of my teachers,About half of my teachers,About half of my teachers,Most of my teachers,Frequently,Understand a little,Slightly negative,Sometimes,Somewhat connected,Neither pleasant or unpleasant,Extremely likely,Quite a bit of respect,Neither unfair or fair,Once in a while,Matter a tremendous amount,Helps my learning a little bit,Slightly difficult,Completely belong,Sometimes,Somewhat unfairly,Frequently,Almost never,Quite confident,Sometimes,Somewhat comfortable,Sometimes,Sometimes,Quite well
stu-m1-38,y,All of my teachers,Most of my teachers,About half of my teachers,About half of my teachers,Most of my teachers,Almost always,Do not understand at all,Neither negative or positive,Once in a while,Somewhat connected,Slightly unpleasant,Quite likely,Some respect,Somewhat unfair,Frequently,Do not matter at all,Hurts my learning a little bit,Quite difficult,Do not belong at all,Almost always,Quite unfairly,Frequently,Almost always,Not at all confident,Sometimes,Somewhat comfortable,Once in a while,Almost never,Quite well
